Location,CBSA Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,10740,2.2,1.9,44.0,10.0,0.08,0.067,6.0,2.0,1.0,19.0,7.6,205.0,35.0,0.0
Atlanta,12060,2.7,2.2,54.0,20.0,0.1,0.078,6.0,3.0,1.0,24.0,10.8,43.0,17.0,
Austin,12420,,0.6,47.0,14.0,0.08,0.064,4.0,1.0,0.0,,,72.0,23.0,
Baltimore,12580,2.0,1.5,55.0,17.0,0.1,0.079,13.0,3.0,1.0,22.0,9.7,32.0,16.0,
Boston,14460,2.4,1.2,49.0,15.0,0.09,0.07,13.0,5.0,1.0,17.0,7.7,30.0,14.0,0.0
Charlotte,16740,1.4,1.0,40.0,11.0,0.09,0.074,4.0,1.0,0.0,21.0,9.1,44.0,18.0,
Chicago,16980,2.3,1.1,61.0,17.0,0.1,0.08,31.0,11.0,2.0,21.0,9.9,131.0,27.0,0.05
Cleveland,17460,5.8,3.9,50.0,11.0,0.09,0.077,370.0,145.0,2.0,22.0,10.7,86.0,37.0,0.03
Colorado Springs,17820,2.6,1.3,,,0.08,0.069,45.0,14.0,3.0,,,35.0,19.0,
Columbus,18020,,,,4.0,0.08,0.071,5.0,2.0,1.0,18.0,8.2,,,
Columbus,18140,2.5,1.8,42.0,12.0,0.09,0.072,4.0,2.0,0.0,18.0,8.7,52.0,20.0,0.01
Dallas,19100,1.6,1.1,45.0,12.0,0.09,0.076,8.0,2.0,0.0,19.0,8.5,45.0,16.0,0.01
Denver,19740,3.2,2.1,77.0,29.0,0.1,0.083,20.0,6.0,1.0,26.0,9.5,89.0,35.0,
Detroit,19820,2.5,1.5,50.0,16.0,0.09,0.075,59.0,17.0,3.0,26.0,11.3,181.0,28.0,0.07
El Paso,21340,4.1,2.4,60.0,15.0,0.11,0.071,8.0,2.0,1.0,25.0,9.6,58.0,27.0,0.01
Fresno,23420,2.0,1.7,48.0,21.0,0.12,0.093,6.0,2.0,0.0,48.0,13.6,90.0,38.0,0.01
Houston,26420,2.2,1.6,54.0,14.0,0.11,0.079,23.0,4.0,1.0,23.0,9.7,81.0,30.0,0.0
Indianapolis,26900,5.7,2.5,,13.0,0.08,0.073,23.0,8.0,2.0,23.0,10.4,85.0,27.0,0.01
Jacksonville,27260,2.7,1.9,,,0.08,0.064,18.0,4.0,0.0,17.0,7.9,,,
Kansas City,28140,1.5,1.0,46.0,13.0,0.09,0.069,10.0,4.0,2.0,20.0,9.0,84.0,27.0,
Las Vegas,29820,2.9,2.2,58.0,25.0,0.1,0.079,6.0,3.0,1.0,23.0,10.7,143.0,28.0,
Los Angeles,31080,4.3,3.6,77.0,24.0,0.14,0.1,12.0,4.0,1.0,39.0,14.7,127.0,34.0,0.03
Louisville,31140,1.6,1.3,49.0,15.0,0.1,0.076,26.0,5.0,2.0,20.0,9.3,39.0,17.0,0.01
Memphis,32820,1.4,1.2,38.0,10.0,0.09,0.071,,,,17.0,8.4,,,
Miami,33060,,,,,0.07,0.053,,,,,,,,0.02
Miami,33100,2.4,1.5,43.0,8.0,0.08,0.062,1.0,0.0,0.0,16.0,8.1,197.0,32.0,
Milwaukee,33340,1.0,0.8,49.0,14.0,0.1,0.079,6.0,4.0,1.0,22.0,8.3,48.0,17.0,
Minneapolis,33460,2.3,1.7,43.0,13.0,0.07,0.061,13.0,5.0,1.0,22.0,7.8,127.0,38.0,0.11
Nashville,34980,1.7,1.5,54.0,16.0,0.09,0.068,2.0,1.0,0.0,18.0,9.3,34.0,18.0,
New York City,35620,5.2,2.5,60.0,20.0,0.1,0.078,7.0,4.0,1.0,21.0,10.1,45.0,17.0,0.03
Oklahoma City,36420,1.7,1.1,47.0,17.0,0.09,0.068,3.0,3.0,0.0,17.0,7.6,68.0,22.0,
