,Location,data_type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
34,Sacramento,Rate per 1000,6.5,6.6,7.2,7.1,5.9,5.7,5.9,6.2,,,7.0,5.2,6.3,6.0,5.5,5.2,5.7,4.8,5.5,5.9
35,San Antonio,Rate per 1000,6.5,4.9,5.7,7.3,7.5,6.3,6.6,6.5,,,5.8,6.7,5.1,7.0,6.5,5.4,6.8,6.7,6.8,7.3
36,San Diego,Rate per 1000,5.4,6.6,6.2,4.2,4.5,5.1,4.5,5.0,,,4.8,4.9,3.8,4.6,4.2,3.6,3.4,4.0,3.8,4.5
37,San Francisco,Rate per 1000,3.8,4.0,3.8,4.6,3.1,3.6,3.6,3.1,,,3.7,3.4,,3.2,3.6,2.5,3.6,,2.5,3.7
38,San Jose,Rate per 1000,4.7,4.8,4.2,3.6,4.0,4.5,3.8,3.9,,,4.1,3.3,3.0,3.1,4.0,3.3,3.5,3.3,3.3,4.2
39,San Juan,Rate per 1000,14.1,9.9,10.1,12.8,11.3,,,,,,7.7,9.5,8.7,9.8,9.5,9.3,9.9,10.2,11.1,
40,Seattle,Rate per 1000,6.5,4.6,4.8,4.0,5.6,5.2,4.9,3.5,,,3.9,3.5,3.7,5.4,5.0,3.7,3.3,3.6,3.3,3.9
41,Tucson,Rate per 1000,5.1,5.5,7.4,6.9,6.6,7.3,8.7,7.2,,,5.8,5.1,4.2,4.9,4.2,5.5,5.0,5.1,4.1,5.6
42,Tulsa,Rate per 1000,8.2,9.6,8.2,10.1,8.2,6.9,8.9,8.9,,,8.4,7.3,6.9,11.2,8.3,9.4,7.1,10.2,8.7,7.6
43,Virginia Beach,Rate per 1000,9.4,6.0,7.1,7.2,6.8,7.8,7.8,10.3,,,5.5,6.8,6.9,6.1,5.8,4.6,5.6,4.9,4.6,5.7
44,Wichita,Rate per 1000,,,,,,8.8,10.6,7.7,,,9.3,6.9,7.3,8.8,8.9,6.1,6.6,8.3,6.9,8.1
