Location,Year,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,2015,2.4,1.4,43.0,11.0,0.08,0.068,5.0,2.0,1.0,21.0,6.7,106.0,32.0,0.0
Atlanta,2015,2.3,1.8,54.0,20.0,0.1,0.077,4.0,1.0,1.0,28.0,11.8,55.0,17.0,0.0
Austin,2015,,,51.0,15.0,0.09,0.073,4.0,1.0,0.0,,,53.0,23.0,
Baltimore,2015,2.8,1.8,51.0,18.0,0.1,0.078,18.0,5.0,1.0,30.0,10.1,33.0,15.0,
Boston,2015,1.6,0.9,56.0,17.0,0.09,0.067,23.0,7.0,1.0,19.0,8.8,37.0,14.0,0.0
Charlotte,2015,1.5,1.2,37.0,12.0,0.09,0.073,6.0,1.0,0.0,16.0,8.9,50.0,18.0,0.0
Chicago,2015,4.5,2.1,62.0,18.0,0.09,0.075,39.0,11.0,2.0,106.0,13.1,126.0,23.0,0.42
Cleveland,2015,5.8,2.9,50.0,13.0,0.08,0.074,89.0,31.0,3.0,27.0,13.3,86.0,42.0,0.03
Colorado Springs,2015,3.1,1.7,,,0.07,0.067,53.0,12.0,3.0,21.0,5.3,40.0,17.0,
Columbus,2015,2.1,1.5,48.0,12.0,0.08,0.071,6.0,2.0,0.0,24.0,10.9,,,0.01
Dallas,2015,1.7,1.5,46.0,10.0,0.11,0.088,8.0,3.0,0.0,19.0,9.3,43.0,17.0,0.01
Denver,2015,2.8,2.0,72.0,27.0,0.12,0.081,16.0,5.0,1.0,26.0,9.9,61.0,27.0,
Detroit,2015,2.4,1.7,50.0,18.0,0.09,0.075,76.0,21.0,2.0,32.0,11.7,139.0,29.0,0.05
El Paso,2015,4.3,2.8,59.0,14.0,0.1,0.072,10.0,3.0,1.0,21.0,8.6,63.0,25.0,0.01
Fresno,2015,2.3,1.7,43.0,11.0,0.12,0.093,7.0,2.0,1.0,57.0,16.0,103.0,39.0,0.01
Houston,2015,1.6,1.7,54.0,13.0,0.14,0.095,29.0,13.0,1.0,25.0,11.8,114.0,41.0,0.0
Indianapolis,2015,3.6,2.5,48.0,15.0,0.08,0.069,56.0,18.0,2.0,24.0,12.0,60.0,28.0,0.02
Jacksonville,2015,2.0,1.4,43.0,11.0,0.07,0.058,57.0,14.0,1.0,16.0,7.7,,,
Kansas City,2015,1.8,1.2,52.0,13.0,0.09,0.068,142.0,49.0,5.0,22.0,9.1,127.0,33.0,0.01
Las Vegas,2015,3.2,2.6,53.0,15.0,0.09,0.076,7.0,4.0,1.0,26.0,9.8,87.0,25.0,0.01
Los Angeles,2015,4.3,3.0,66.0,25.0,0.13,0.1,7.0,2.0,0.0,42.0,12.6,95.0,37.0,0.04
Louisville,2015,1.7,1.4,,16.0,0.1,0.076,54.0,13.0,3.0,31.0,11.2,51.0,21.0,0.01
Memphis,2015,4.4,2.0,41.0,11.0,0.09,0.066,,,,18.0,8.8,47.0,21.0,0.0
Miami,2015,3.0,1.1,39.0,9.0,0.08,0.063,2.0,1.0,0.0,16.0,6.9,66.0,11.0,
Milwaukee,2015,1.1,0.7,46.0,15.0,0.09,0.071,13.0,4.0,1.0,28.0,9.6,44.0,14.0,
Minneapolis,2015,2.3,1.7,48.0,14.0,0.08,0.064,12.0,6.0,1.0,21.0,8.4,173.0,35.0,0.13
Nashville,2015,1.7,1.4,55.0,15.0,0.08,0.067,7.0,3.0,0.0,20.0,9.8,45.0,20.0,
New York City,2015,2.7,1.9,68.0,22.0,0.1,0.079,15.0,7.0,2.0,29.0,11.4,44.0,20.0,0.03
Oklahoma City,2015,2.9,0.9,43.0,7.0,0.08,0.068,3.0,1.0,0.0,18.0,8.3,59.0,19.0,
Omaha,2015,2.2,1.7,,,0.08,0.064,57.0,17.0,1.0,22.0,9.2,111.0,31.0,0.07
Philadelphia,2015,2.1,1.6,63.0,18.0,0.1,0.082,16.0,8.0,2.0,30.0,11.9,48.0,24.0,0.02
Phoenix,2015,4.0,2.6,61.0,22.0,0.1,0.077,9.0,5.0,1.0,28.0,10.2,985.0,65.0,0.01
Portland,2015,2.4,1.9,36.0,14.0,0.09,0.069,4.0,2.0,0.0,34.0,8.0,45.0,16.0,0.0
Sacramento,2015,2.1,1.9,46.0,11.0,0.1,0.085,8.0,7.0,2.0,38.0,10.4,75.0,22.0,
San Antonio,2015,,,48.0,10.0,0.1,0.08,13.0,3.0,1.0,21.0,8.6,48.0,22.0,
San Diego,2015,3.1,1.9,53.0,14.0,0.1,0.079,,,,20.0,9.3,99.0,35.0,0.02
San Francisco,2015,3.8,2.0,53.0,18.0,0.1,0.074,12.0,4.0,2.0,31.0,10.2,38.0,18.0,
San Jose,2015,2.6,1.8,47.0,18.0,0.09,0.072,2.0,1.0,0.0,32.0,10.6,52.0,21.0,0.1
San Juan,2015,5.1,2.5,,,0.07,0.038,6.0,4.0,2.0,16.0,6.8,134.0,27.0,
Seattle,2015,2.2,1.4,65.0,24.0,0.09,0.074,,,,45.0,9.8,34.0,11.0,0.0
Tucson,2015,2.0,1.4,40.0,9.0,0.08,0.066,5.0,1.0,0.0,11.0,5.1,65.0,26.0,0.0
Tulsa,2015,1.5,1.1,42.0,8.0,0.09,0.066,11.0,5.0,1.0,18.0,8.7,72.0,19.0,0.0
Virginia Beach,2015,1.4,0.9,41.0,8.0,0.08,0.065,30.0,8.0,1.0,18.0,7.8,26.0,13.0,
District of Columbia,2015,5.1,2.0,53.0,13.0,0.1,0.073,13.0,5.0,1.0,28.0,11.2,42.0,17.0,0.0
Wichita,2015,,,37.0,7.0,0.08,0.065,5.0,4.0,1.0,25.0,8.4,68.0,24.0,
National Means,2015,2.749999999999999,1.7428571428571433,50.31707317073171,14.547619047619047,0.09244444444444445,0.0729111111111111,22.833333333333332,7.523809523809524,1.1666666666666667,27.272727272727273,9.727272727272727,91.83720930232558,24.511627906976745,0.03366666666666667
National First Quartile,2015,2.0,1.4,43.0,11.0,0.08,0.067,6.0,2.0,0.5,20.0,8.6,45.0,17.75,0.0
National Median,2015,2.4,1.7,50.0,14.0,0.09,0.0729111111111111,11.5,4.5,1.0,24.5,9.663636363636364,60.0,22.0,0.01
National Third Quartile,2015,3.1,2.0,54.0,18.0,0.1,0.077,23.0,8.0,2.0,29.5,11.05,94.20930232558139,27.75,0.03
