Location,CBSA Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Milwaukee,33340,1.2,0.7,53.0,16.0,0.09,0.074,27.0,8.0,1.0,29.0,10.5,53.0,19.0,
Minneapolis,33460,2.7,1.6,50.0,16.0,0.08,0.064,12.0,5.0,1.0,28.0,9.9,76.0,25.0,0.12
Nashville,34980,,1.2,,10.0,0.08,0.071,13.0,10.0,1.0,22.0,10.5,37.0,18.0,
New York City,35620,3.1,2.5,70.0,22.0,0.11,0.074,15.0,10.0,2.0,31.0,10.5,47.0,17.0,0.02
Oklahoma City,36420,0.9,0.7,46.0,7.0,0.09,0.069,3.0,1.0,0.0,22.0,9.4,85.0,23.0,
Omaha,36540,2.1,1.5,,,0.08,0.063,54.0,16.0,2.0,23.0,9.1,137.0,28.0,0.1
Philadelphia,37980,1.9,1.4,51.0,18.0,0.1,0.074,14.0,6.0,1.0,32.0,12.7,60.0,23.0,0.02
Phoenix,38060,4.9,2.8,64.0,25.0,0.1,0.08,8.0,3.0,1.0,31.0,14.0,521.0,98.0,0.05
Portland,38900,2.0,1.3,35.0,8.0,0.08,0.062,3.0,2.0,1.0,23.0,7.0,30.0,11.0,0.0
Sacramento,40900,2.3,1.9,55.0,11.0,0.1,0.083,5.0,5.0,1.0,28.0,8.8,83.0,20.0,0.0
San Antonio,41700,,,46.0,11.0,0.09,0.072,18.0,3.0,1.0,20.0,8.9,71.0,25.0,
San Diego,41740,3.5,1.9,61.0,13.0,0.09,0.08,,,,25.0,10.2,53.0,30.0,
San Francisco,41860,3.0,2.5,58.0,17.0,0.09,0.076,16.0,5.0,1.0,26.0,10.8,37.0,16.0,
San Jose,41940,2.4,1.9,55.0,13.0,0.09,0.073,2.0,1.0,0.0,28.0,9.3,52.0,19.0,0.13
San Juan,41980,10.9,7.7,,,0.08,0.037,8.0,1.0,0.0,,,80.0,23.0,0.01
Seattle,42660,3.2,1.7,47.0,12.0,0.09,0.067,,,,30.0,7.9,23.0,10.0,0.0
Tucson,46060,1.8,1.1,43.0,11.0,0.08,0.069,6.0,1.0,0.0,19.0,5.9,143.0,39.0,0.0
Tulsa,46140,1.5,0.9,,7.0,0.09,0.066,14.0,7.0,1.0,23.0,9.5,75.0,20.0,0.0
Virginia Beach,47260,1.1,0.9,42.0,8.0,0.08,0.063,41.0,11.0,1.0,20.0,8.1,23.0,12.0,
District of Columbia,47900,2.5,2.0,47.0,11.0,0.09,0.071,16.0,6.0,1.0,23.0,9.9,43.0,17.0,0.0
Wichita,48620,,,40.0,8.0,0.08,0.069,7.0,6.0,1.0,31.0,9.8,109.0,25.0,
