Location,CBSA Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,10740,2.8,1.2,42.0,12.0,0.08,0.064,6.0,2.0,1.0,23.0,7.4,152.0,36.0,0.0
Atlanta,12060,2.1,1.7,53.0,11.0,0.1,0.079,6.0,3.0,1.0,28.0,12.1,61.0,18.0,
Austin,12420,0.5,0.3,31.0,5.0,0.08,0.063,5.0,2.0,0.0,22.0,10.0,78.0,26.0,
Baltimore,12580,1.8,1.3,52.0,18.0,0.09,0.07,26.0,7.0,1.0,23.0,11.1,29.0,14.0,
Boston,14460,1.7,1.1,53.0,17.0,0.08,0.07,32.0,7.0,1.0,19.0,10.1,66.0,16.0,0.0
Charlotte,16740,1.7,1.3,41.0,9.0,0.09,0.068,6.0,2.0,0.0,20.0,9.2,39.0,17.0,0.0
Chicago,16980,5.3,1.9,67.0,21.0,0.09,0.076,53.0,12.0,2.0,34.0,14.7,80.0,28.0,0.15
Cleveland,17460,7.1,3.7,48.0,12.0,0.08,0.075,80.0,22.0,4.0,27.0,12.5,93.0,38.0,0.03
Colorado Springs,17820,3.4,2.2,,,0.07,0.064,57.0,12.0,3.0,13.0,5.8,41.0,20.0,
Columbus,18140,1.8,1.3,51.0,12.0,0.08,0.07,17.0,6.0,0.0,24.0,10.9,46.0,23.0,
Dallas,19100,1.6,1.1,48.0,10.0,0.1,0.079,17.0,4.0,1.0,23.0,10.7,80.0,27.0,0.04
Denver,19740,3.2,2.4,77.0,25.0,0.1,0.077,18.0,6.0,1.0,30.0,9.9,97.0,31.0,0.0
Detroit,19820,2.0,1.5,52.0,16.0,0.09,0.073,72.0,23.0,3.0,28.0,12.0,150.0,28.0,0.03
El Paso,21340,4.2,2.4,60.0,14.0,0.09,0.07,9.0,3.0,1.0,26.0,9.8,91.0,36.0,0.01
Fresno,23420,2.8,2.0,57.0,12.0,0.12,0.097,5.0,2.0,0.0,71.0,16.4,118.0,41.0,0.01
Houston,26420,2.7,2.0,52.0,13.0,0.11,0.072,25.0,8.0,1.0,25.0,11.8,110.0,42.0,0.0
Indianapolis,26900,6.2,3.1,46.0,17.0,0.08,0.066,106.0,25.0,3.0,33.0,12.6,58.0,27.0,0.02
Jacksonville,27260,2.1,1.3,40.0,8.0,0.09,0.071,56.0,15.0,2.0,19.0,8.1,31.0,16.0,
Kansas City,28140,1.6,1.1,53.0,13.0,0.09,0.068,125.0,45.0,5.0,22.0,10.6,90.0,28.0,0.01
Las Vegas,29820,3.7,2.8,,14.0,0.09,0.081,7.0,4.0,1.0,26.0,10.4,105.0,29.0,0.01
Los Angeles,31080,5.4,3.8,69.0,27.0,0.13,0.097,9.0,2.0,0.0,,,95.0,44.0,0.07
Louisville,31140,2.1,1.1,,,0.09,0.07,149.0,27.0,4.0,28.0,12.6,59.0,20.0,0.01
Memphis,32820,1.4,0.9,42.0,8.0,0.09,0.067,,,,25.0,9.4,47.0,21.0,0.0
Miami,33100,5.0,2.0,50.0,9.0,0.08,0.063,5.0,2.0,0.0,19.0,6.3,26.0,15.0,
