Location,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,1.8,1.0,45.0,10.0,0.08,0.075,5.0,2.0,1.0,21.0,8.4,229.0,42.0,
Atlanta,2.2,1.6,47.0,16.0,0.09,0.072,4.0,2.0,1.0,21.0,10.0,38.0,17.0,
Austin,2.3,1.3,46.0,12.0,0.08,0.072,2.0,1.0,0.0,23.0,10.2,82.0,23.0,
Baltimore,1.8,1.3,48.0,16.0,0.1,0.075,12.0,4.0,1.0,21.0,9.6,33.0,14.0,
Boston,1.1,0.7,48.0,13.0,0.09,0.071,14.0,5.0,1.0,21.0,10.1,31.0,9.0,
Charlotte,1.8,1.3,35.0,10.0,0.08,0.07,3.0,1.0,0.0,16.0,8.4,58.0,15.0,
Chicago,3.4,1.6,61.0,18.0,0.1,0.084,28.0,8.0,2.0,27.0,11.2,76.0,23.0,0.01
Cleveland,4.7,3.1,49.0,11.0,0.09,0.076,53.0,11.0,1.0,28.0,11.1,74.0,30.0,0.06
Colorado Springs,2.4,1.5,,,0.08,0.073,9.0,3.0,1.0,16.0,6.2,36.0,19.0,
Columbus,1.7,1.2,44.0,10.0,0.08,0.067,,,0.0,24.0,9.1,,,0.01
Dallas,1.8,1.2,43.0,11.0,0.1,0.082,8.0,4.0,0.0,28.0,9.7,,,0.01
Denver,4.0,2.9,70.0,27.0,0.1,0.083,8.0,4.0,1.0,37.0,10.2,146.0,36.0,
Detroit,3.1,2.4,43.0,16.0,0.09,0.077,82.0,26.0,2.0,29.0,11.9,123.0,29.0,0.08
El Paso,4.9,2.3,61.0,11.0,0.1,0.078,,,,25.0,8.5,114.0,34.0,0.01
Fresno,2.1,1.8,63.0,21.0,0.11,0.088,6.0,2.0,1.0,66.0,17.1,120.0,45.0,
Houston,2.6,1.5,52.0,12.0,0.13,0.088,24.0,4.0,0.0,33.0,11.0,102.0,32.0,
Indianapolis,3.3,2.2,,14.0,0.09,0.076,55.0,13.0,1.0,27.0,10.9,55.0,26.0,
Jacksonville,1.7,1.2,41.0,11.0,0.08,0.061,40.0,8.0,2.0,17.0,8.7,46.0,18.0,
Kansas City,1.9,1.1,48.0,12.0,0.1,0.074,6.0,3.0,1.0,18.0,9.6,60.0,25.0,
Las Vegas,3.9,2.8,59.0,27.0,0.09,0.077,,,,27.0,10.0,115.0,32.0,
Los Angeles,4.4,3.1,79.0,22.0,0.13,0.102,9.0,2.0,1.0,42.0,13.4,90.0,33.0,0.06
Louisville,1.5,1.0,46.0,15.0,0.1,0.077,16.0,4.0,1.0,26.0,10.3,40.0,17.0,
Memphis,1.5,0.9,38.0,10.0,0.09,0.073,3.0,1.0,0.0,24.0,9.1,64.0,15.0,
Miami,1.7,1.1,46.0,15.0,0.08,0.066,1.0,0.0,0.0,17.0,8.2,47.0,16.0,
Milwaukee,1.0,0.8,47.0,14.0,0.1,0.073,4.0,1.0,0.0,25.0,9.4,40.0,16.0,
Minneapolis,17.9,3.9,45.0,13.0,0.09,0.069,17.0,6.0,1.0,28.0,8.9,144.0,35.0,0.08
Nashville,1.8,1.6,47.0,14.0,0.09,0.071,,,,18.0,9.2,41.0,15.0,
New York City,4.8,2.7,68.0,19.0,0.11,0.079,8.0,4.0,1.0,27.0,11.1,38.0,16.0,0.0
Oklahoma City,1.8,1.6,41.0,13.0,0.1,0.076,3.0,0.0,0.0,24.0,10.1,92.0,22.0,
Omaha,1.7,1.3,,,0.08,0.069,37.0,11.0,1.0,23.0,9.1,62.0,23.0,0.08
Philadelphia,1.7,1.3,45.0,11.0,0.1,0.084,14.0,5.0,1.0,23.0,10.4,,,
Phoenix,4.8,2.9,62.0,28.0,0.11,0.08,8.0,4.0,1.0,42.0,12.6,829.0,79.0,0.05
Portland,1.9,1.6,38.0,12.0,0.09,0.07,3.0,1.0,0.0,32.0,8.1,27.0,12.0,
Sacramento,4.1,3.6,58.0,12.0,0.13,0.098,2.0,1.0,0.0,173.0,14.4,252.0,29.0,0.01
San Antonio,1.6,1.1,40.0,7.0,0.09,0.073,,,,18.0,7.7,53.0,20.0,
San Diego,1.8,1.3,48.0,15.0,0.1,0.08,1.0,0.0,0.0,29.0,13.0,54.0,26.0,0.02
San Francisco,3.6,3.0,59.0,17.0,0.1,0.069,20.0,4.0,1.0,82.0,14.4,102.0,21.0,
San Jose,2.7,2.2,59.0,17.0,0.09,0.066,3.0,1.0,0.0,73.0,12.9,111.0,22.0,0.08
San Juan,14.3,9.0,,,,,,,,,,,,
Seattle,1.4,1.2,64.0,20.0,0.1,0.077,8.0,3.0,1.0,42.0,9.3,,,
Tucson,1.6,0.9,41.0,8.0,0.08,0.071,2.0,1.0,0.0,12.0,5.9,206.0,43.0,
Tulsa,1.4,1.0,39.0,7.0,0.1,0.073,8.0,4.0,1.0,27.0,11.6,59.0,19.0,0.01
Virginia Beach,1.4,1.0,38.0,7.0,0.07,0.063,21.0,6.0,1.0,14.0,6.6,21.0,11.0,
District of Columbia,2.1,1.9,49.0,15.0,0.11,0.073,5.0,3.0,1.0,23.0,9.5,40.0,16.0,
Wichita,,,40.0,8.0,0.08,0.067,4.0,2.0,1.0,20.0,8.2,86.0,31.0,
National Means,3.0681818181818175,1.9090909090909094,49.75609756097561,14.214285714285714,0.09499999999999999,0.07540909090909091,14.256410256410257,4.230769230769231,0.725,31.568181818181817,10.120454545454546,100.9,25.15,0.038000000000000006
