Location,Year,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Minneapolis,2010,4.4,2.2,51.0,10.0,0.09,0.067,29.0,10.0,1.0,36.0,10.2,74.0,29.0,0.26
Nashville,2010,2.9,2.0,46.0,13.0,0.1,0.078,14.0,6.0,2.0,,,42.0,22.0,
New York City,2010,5.7,2.2,71.0,22.0,0.12,0.087,50.0,24.0,5.0,28.0,11.5,,,0.04
Oklahoma City,2010,1.6,0.8,47.0,9.0,0.09,0.072,6.0,4.0,1.0,19.0,9.5,41.0,22.0,
Omaha,2010,2.2,1.7,,,0.08,0.067,58.0,26.0,2.0,32.0,12.2,145.0,43.0,0.26
Philadelphia,2010,3.0,1.8,62.0,23.0,0.11,0.088,34.0,18.0,3.0,35.0,13.8,85.0,30.0,0.05
Phoenix,2010,8.9,3.2,68.0,25.0,0.1,0.079,10.0,5.0,2.0,27.0,12.4,226.0,82.0,
Portland,2010,2.8,2.4,33.0,9.0,0.09,0.066,8.0,3.0,1.0,18.0,6.6,29.0,15.0,0.03
Sacramento,2010,2.2,1.9,54.0,12.0,0.12,0.096,1.0,1.0,0.0,27.0,8.7,54.0,21.0,
San Antonio,2010,1.3,1.3,32.0,4.0,0.1,0.078,,,,16.0,8.7,55.0,19.0,
San Diego,2010,3.8,2.4,74.0,21.0,0.11,0.081,18.0,7.0,2.0,23.0,10.8,101.0,46.0,
San Francisco,2010,3.0,1.7,77.0,16.0,0.1,0.078,15.0,5.0,1.0,33.0,10.5,45.0,20.0,
San Jose,2010,2.6,1.8,51.0,14.0,0.11,0.08,4.0,2.0,0.0,29.0,8.8,37.0,18.0,
San Juan,2010,12.9,4.0,,,0.09,0.043,70.0,11.0,2.0,,,145.0,31.0,
Seattle,2010,1.1,0.7,,,0.09,0.068,25.0,8.0,1.0,24.0,7.1,,,
Tucson,2010,2.5,1.3,46.0,12.0,0.08,0.069,10.0,1.0,1.0,12.0,5.2,66.0,30.0,
Tulsa,2010,3.0,1.8,38.0,8.0,0.09,0.073,63.0,26.0,5.0,22.0,10.7,74.0,24.0,
Virginia Beach,2010,2.3,1.7,,,0.11,0.078,41.0,8.0,2.0,24.0,10.3,37.0,18.0,
District of Columbia,2010,3.7,3.1,59.0,18.0,0.11,0.089,21.0,11.0,3.0,28.0,12.1,85.0,22.0,
Wichita,2010,5.7,2.7,39.0,8.0,0.09,0.075,12.0,2.0,1.0,22.0,8.8,57.0,21.0,
National Means,2010,3.5545454545454547,2.0681818181818183,54.28947368421053,14.473684210526315,0.10022222222222224,0.07771111111111113,42.55263157894737,13.289473684210526,2.263157894736842,26.3953488372093,10.774418604651164,74.23255813953489,27.069767441860463,0.14687499999999995
National First Quartile,2010,2.3,1.7,49.5,11.0,0.09,0.07225,13.0,5.0,1.0,22.0,8.775,45.0,21.0,0.02
National Median,2010,2.9,1.9,54.0,13.0,0.1,0.078,27.0,8.0,2.0,25.0,10.774418604651164,62.0,24.0,0.045
National Third Quartile,2010,3.8,2.4,60.0,17.0,0.11,0.08125,49.0,14.0,3.0,32.0,12.3,74.17441860465117,30.75,0.25
