Location,Year,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,2010,2.9,2.6,53.0,12.0,0.08,0.069,,,,15.0,5.3,122.0,43.0,
Atlanta,2010,2.3,1.9,58.0,14.0,0.11,0.08,33.0,10.0,2.0,25.0,14.5,51.0,19.0,0.02
Austin,2010,1.0,0.5,21.0,3.0,0.09,0.074,,,,18.0,10.0,34.0,17.0,
Baltimore,2010,2.7,1.9,61.0,18.0,0.12,0.096,20.0,7.0,2.0,32.0,12.7,45.0,16.0,
Boston,2010,2.5,1.8,53.0,19.0,0.09,0.073,45.0,11.0,3.0,25.0,10.0,41.0,16.0,
Charlotte,2010,2.3,1.7,50.0,12.0,0.11,0.082,20.0,6.0,1.0,25.0,12.1,48.0,23.0,
Chicago,2010,5.6,2.4,71.0,25.0,0.1,0.081,90.0,24.0,4.0,36.0,18.6,69.0,32.0,0.24
Cleveland,2010,8.8,3.5,58.0,16.0,0.1,0.081,139.0,49.0,8.0,33.0,14.0,72.0,31.0,0.53
Colorado Springs,2010,3.8,2.1,,,0.09,0.072,,,,12.0,6.2,38.0,20.0,
Columbus,2010,2.7,1.7,,,0.09,0.077,,,,34.0,13.1,126.0,32.0,0.01
Dallas,2010,2.2,1.5,57.0,13.0,0.11,0.085,17.0,5.0,1.0,23.0,10.8,62.0,28.0,0.37
Denver,2010,4.0,2.4,71.0,28.0,0.1,0.079,37.0,9.0,2.0,23.0,8.6,68.0,28.0,0.01
Detroit,2010,2.2,1.2,54.0,12.0,0.1,0.078,107.0,49.0,3.0,32.0,12.3,73.0,21.0,0.01
El Paso,2010,6.2,2.9,63.0,17.0,0.1,0.073,10.0,3.0,1.0,27.0,8.4,249.0,32.0,0.04
Fresno,2010,2.9,2.0,54.0,13.0,0.13,0.103,7.0,3.0,1.0,49.0,14.6,61.0,28.0,
Houston,2010,3.0,1.7,60.0,15.0,0.13,0.088,46.0,14.0,2.0,24.0,12.3,82.0,35.0,0.01
Indianapolis,2010,4.3,2.8,54.0,13.0,0.08,0.072,105.0,29.0,3.0,37.0,15.1,83.0,32.0,0.08
Jacksonville,2010,2.2,1.9,44.0,9.0,0.09,0.068,216.0,58.0,4.0,20.0,9.4,62.0,22.0,
Kansas City,2010,2.1,1.6,54.0,15.0,0.1,0.076,49.0,13.0,5.0,31.0,11.0,65.0,30.0,
Las Vegas,2010,3.6,3.0,56.0,13.0,0.09,0.074,,,,22.0,7.4,61.0,24.0,
Los Angeles,2010,5.5,3.6,73.0,26.0,0.12,0.09,16.0,5.0,1.0,32.0,12.6,71.0,33.0,0.39
Louisville,2010,2.9,2.2,,,0.12,0.085,123.0,21.0,4.0,29.0,14.7,74.0,22.0,
Memphis,2010,2.5,1.8,51.0,10.0,0.1,0.078,10.0,5.0,3.0,23.0,11.8,43.0,21.0,
Miami,2010,2.6,1.6,49.0,10.0,0.08,0.069,38.0,6.0,1.0,17.0,8.5,44.0,24.0,
Milwaukee,2010,,,50.0,13.0,0.1,0.082,,,,36.0,11.4,50.0,22.0,
