,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO 2nd Max 1-hr,6.575,5.7250000000000005,5.525,4.9,4.525,3.9,3.725000000000001,3.525,2.7,2.5,2.3,2.3,2.3,2.3,1.875,1.8,2.0,1.75,1.8,1.7
CO 2nd Max 8-hr,4.2,3.725000000000001,3.525,3.025,2.825,2.6,2.425,2.2,1.9,1.8,1.6,1.7,1.5,1.5,1.275,1.1749999999999998,1.4,1.2,1.3,1.2
NO2 98th Percentile 1-hr,63.0,61.0,57.5,57.0,55.0,53.0,54.0,49.75,51.75,49.75,44.0,49.5,47.0,47.5,43.0,46.0,43.0,43.0,43.25,43.0
NO2 Mean 1-hr,18.0,17.0,17.0,17.0,16.0,16.0,15.25,15.0,13.0,11.75,10.75,11.0,10.0,10.0,9.0,10.0,11.0,11.5,11.0,11.0
Ozone 2nd Max 1-hr,0.11,0.1,0.1,0.11,0.1,0.09,0.1,0.1,0.09,0.09,0.09,0.09,0.09,0.1,0.08,0.08,0.08,0.08,0.08,0.09
Ozone 4th Max 8-hr,0.081,0.07725,0.079,0.083,0.082,0.075,0.07825,0.08,0.075,0.074,0.07125,0.07225,0.075,0.07425,0.069,0.067,0.067,0.068,0.07,0.071
SO2 99th Percentile 1-hr,56.0,56.0,33.0,34.75,27.0,34.5,29.5,24.5,19.0,19.0,11.5,13.0,12.75,9.0,7.5,6.5,6.0,6.0,5.0,3.75
SO2 2nd Max 24-hr,16.0,15.0,10.0,11.0,9.0,9.5,9.0,8.0,7.0,6.5,4.0,5.0,4.0,3.0,2.5,2.5,2.0,2.0,2.0,1.0
SO2 Mean 1-hr,3.0,3.0,3.0,2.25,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0
PM2.5 98th Percentile 24-hr,35.0,30.0,31.5,29.25,29.0,28.0,29.75,25.0,29.0,24.0,21.0,22.0,24.0,21.25,21.0,22.0,20.0,18.0,19.5,21.0
PM2.5 Weighted Mean 24-hr,12.7,11.5,11.5,10.875000000000002,10.8,10.7,11.275000000000002,10.3,10.7,9.95,9.475,8.775,9.95,9.225,9.1,9.175,8.6,7.975,8.7,8.9
PM10 2nd Max 24-hr,60.25,59.0,55.0,52.0,56.0,52.25,59.25,56.75,58.25,46.0,42.0,45.0,46.0,44.0,43.0,46.25,45.0,43.5,41.0,41.0
PM10 Mean 24-hr,27.0,26.0,25.25,23.0,24.75,24.25,26.0,24.75,24.0,22.0,19.0,21.0,20.0,19.75,18.0,18.0,17.75,17.0,17.0,16.0
Lead Max 3-Mo Avg,,,,,,,,,,,0.03,0.02,0.02,0.01,0.0,0.0,0.0,0.01,0.01,0.01
Infant Mortality,6.425,5.475,5.675000000000001,5.875000000000001,5.5,5.75,5.475,5.675000000000001,5.591666666666666,5.425000000000001,5.3,4.9,4.975,4.9,4.9,5.1,5.1,5.05,4.6,4.375
