Location,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,2.2,1.0,45.0,10.0,0.08,0.071,4.0,1.0,0.0,19.0,7.5,126.0,35.0,0.0
Atlanta,2.3,1.8,46.0,18.0,0.09,0.074,7.0,3.0,1.0,22.0,10.4,41.0,17.0,
Austin,2.2,1.3,47.0,13.0,0.08,0.07,4.0,1.0,0.0,,,39.0,22.0,
Baltimore,1.4,1.1,49.0,16.0,0.1,0.077,,,,23.0,8.3,28.0,14.0,
Boston,1.6,0.9,46.0,14.0,0.1,0.075,11.0,4.0,1.0,17.0,8.8,31.0,11.0,
Charlotte,1.5,1.3,40.0,11.0,0.08,0.068,5.0,1.0,0.0,18.0,8.7,,,
Chicago,3.5,1.4,55.0,16.0,0.1,0.079,36.0,11.0,2.0,24.0,10.3,82.0,22.0,0.02
Cleveland,5.4,3.3,46.0,11.0,0.09,0.073,41.0,14.0,1.0,27.0,11.2,67.0,30.0,0.03
Colorado Springs,2.3,1.3,,,0.08,0.07,22.0,7.0,1.0,17.0,6.0,49.0,18.0,
Columbus,1.9,1.6,40.0,11.0,0.08,0.07,3.0,1.0,0.0,22.0,8.8,52.0,22.0,0.01
Dallas,1.7,1.0,45.0,12.0,0.1,0.077,7.0,2.0,0.0,20.0,9.0,32.0,16.0,0.01
Denver,3.8,1.7,70.0,27.0,0.1,0.076,16.0,3.0,1.0,24.0,9.7,116.0,35.0,
Detroit,8.2,1.8,47.0,16.0,0.09,0.076,70.0,29.0,3.0,30.0,11.2,133.0,26.0,0.08
El Paso,3.8,2.6,58.0,10.0,0.1,0.075,5.0,2.0,1.0,28.0,9.3,104.0,32.0,0.02
Fresno,2.3,1.7,59.0,21.0,0.12,0.095,5.0,2.0,1.0,73.0,15.0,164.0,43.0,
Houston,2.1,1.9,52.0,14.0,0.11,0.079,19.0,8.0,0.0,24.0,10.4,80.0,27.0,
Indianapolis,3.8,2.9,39.0,13.0,0.08,0.069,47.0,20.0,1.0,24.0,10.5,54.0,24.0,0.02
Jacksonville,2.6,1.4,35.0,11.0,0.08,0.062,32.0,13.0,1.0,,,,,
Kansas City,1.9,1.4,47.0,12.0,0.09,0.07,18.0,7.0,1.0,22.0,9.9,117.0,29.0,
Las Vegas,3.2,2.8,61.0,27.0,0.09,0.076,6.0,4.0,1.0,28.0,9.1,119.0,29.0,
Los Angeles,5.6,3.5,83.0,25.0,0.15,0.111,14.0,3.0,1.0,53.0,14.9,111.0,33.0,0.01
Louisville,1.7,1.3,47.0,15.0,0.08,0.074,14.0,4.0,1.0,21.0,9.8,30.0,15.0,
Memphis,1.1,0.7,37.0,10.0,0.08,0.068,7.0,2.0,0.0,16.0,8.5,,,
Miami,2.5,1.6,44.0,15.0,0.09,0.067,1.0,0.0,0.0,24.0,9.8,53.0,23.0,
Milwaukee,0.7,0.5,44.0,14.0,0.09,0.073,5.0,1.0,0.0,24.0,8.6,57.0,14.0,
Minneapolis,4.5,4.4,44.0,13.0,0.08,0.063,18.0,6.0,1.0,20.0,8.7,150.0,41.0,0.11
Nashville,1.9,1.5,51.0,14.0,0.09,0.064,5.0,7.0,0.0,19.0,9.7,34.0,15.0,
New York City,2.3,1.6,67.0,20.0,0.11,0.079,7.0,4.0,1.0,23.0,10.3,32.0,16.0,0.01
Oklahoma City,1.8,1.3,43.0,16.0,0.09,0.071,2.0,1.0,0.0,16.0,7.8,37.0,19.0,
Omaha,2.0,1.5,,,0.08,0.064,55.0,20.0,1.0,21.0,9.7,113.0,28.0,0.05
Philadelphia,4.1,2.6,46.0,12.0,0.1,0.079,10.0,4.0,1.0,24.0,11.4,46.0,22.0,0.01
Phoenix,4.6,2.9,67.0,31.0,0.1,0.079,10.0,4.0,1.0,36.0,15.6,416.0,87.0,0.05
Portland,1.6,1.1,40.0,12.0,0.1,0.083,3.0,2.0,0.0,36.0,8.2,62.0,15.0,
Sacramento,1.8,1.6,50.0,10.0,0.11,0.082,,,,41.0,10.8,87.0,23.0,
San Antonio,1.7,1.1,40.0,8.0,0.09,0.073,29.0,4.0,2.0,25.0,8.9,73.0,21.0,
San Diego,1.9,1.4,52.0,16.0,0.11,0.09,1.0,0.0,0.0,19.0,9.6,67.0,27.0,0.02
San Francisco,3.1,2.1,59.0,17.0,0.13,0.079,16.0,5.0,2.0,43.0,12.8,59.0,21.0,
San Jose,2.5,1.8,52.0,17.0,0.11,0.075,,1.0,,41.0,10.8,74.0,21.0,0.07
San Juan,12.7,2.5,,,,,,,,,,,,
Seattle,2.6,1.7,44.0,20.0,0.12,0.094,,,,44.0,9.7,,,
Tucson,1.8,1.2,37.0,8.0,0.08,0.073,2.0,1.0,0.0,17.0,6.7,156.0,49.0,
Tulsa,1.4,1.0,37.0,7.0,0.08,0.065,14.0,6.0,1.0,25.0,10.2,32.0,17.0,0.01
Virginia Beach,1.7,0.9,40.0,7.0,0.08,0.064,3.0,2.0,0.0,13.0,6.9,20.0,12.0,
District of Columbia,2.7,2.3,58.0,15.0,0.09,0.072,4.0,3.0,1.0,21.0,10.2,44.0,16.0,0.0
Wichita,,,,7.0,0.08,0.065,5.0,5.0,1.0,18.0,7.7,129.0,35.0,
