Location,CBSA Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,10740,3.1,2.2,50.0,13.0,0.09,0.076,4.0,2.0,0.0,40.0,6.9,165.0,36.0,
Atlanta,12060,1.8,1.5,57.0,13.0,0.11,0.084,25.0,6.0,2.0,27.0,12.5,47.0,21.0,0.02
Austin,12420,0.7,0.5,21.0,3.0,0.09,0.077,,,,22.0,10.6,33.0,18.0,
Baltimore,12580,2.3,1.6,54.0,18.0,0.12,0.098,,,,29.0,13.1,37.0,15.0,
Boston,14460,2.5,1.7,53.0,20.0,0.1,0.073,37.0,10.0,2.0,24.0,10.3,41.0,17.0,0.0
Charlotte,16740,2.0,1.5,42.0,10.0,0.11,0.088,15.0,3.0,1.0,26.0,11.0,43.0,20.0,
Chicago,16980,3.6,2.3,65.0,23.0,0.11,0.081,90.0,19.0,3.0,28.0,13.4,83.0,30.0,0.29
Cleveland,17460,5.5,3.1,50.0,15.0,0.1,0.081,145.0,55.0,7.0,28.0,12.6,122.0,37.0,0.41
Colorado Springs,17820,2.7,1.5,,,0.09,0.075,,,,18.0,5.9,45.0,19.0,
Columbus,18140,2.3,1.5,,,0.1,0.087,,,,27.0,11.9,77.0,23.0,0.01
Dallas,19100,1.6,1.3,57.0,13.0,0.11,0.097,13.0,4.0,1.0,23.0,11.1,57.0,29.0,0.52
Denver,19740,3.1,1.8,64.0,24.0,0.1,0.083,34.0,7.0,2.0,20.0,7.6,92.0,33.0,0.02
Detroit,19820,2.0,1.5,49.0,12.0,0.1,0.083,47.0,10.0,3.0,30.0,11.2,51.0,21.0,0.02
El Paso,21340,4.2,2.7,61.0,17.0,0.09,0.071,11.0,3.0,1.0,39.0,12.9,252.0,43.0,0.03
Fresno,23420,3.0,2.2,50.0,13.0,0.13,0.102,,,,76.0,17.9,84.0,31.0,
Houston,26420,3.0,2.0,60.0,14.0,0.13,0.09,41.0,12.0,2.0,24.0,13.2,92.0,41.0,0.01
Indianapolis,26900,6.6,2.3,47.0,11.0,0.09,0.077,63.0,19.0,3.0,35.0,17.5,56.0,25.0,0.06
Jacksonville,27260,5.9,2.2,39.0,8.0,0.09,0.071,39.0,7.0,1.0,,,101.0,21.0,
Kansas City,28140,2.2,1.5,54.0,15.0,0.11,0.08,162.0,60.0,5.0,25.0,10.8,56.0,30.0,
Las Vegas,29820,3.5,3.0,48.0,13.0,0.09,0.078,8.0,4.0,1.0,21.0,8.2,102.0,26.0,
Los Angeles,31080,5.6,3.8,74.0,25.0,0.13,0.101,25.0,7.0,0.0,34.0,13.3,76.0,33.0,0.46
Louisville,31140,2.5,1.9,,,0.12,0.09,114.0,17.0,4.0,29.0,12.9,75.0,21.0,
Memphis,32820,2.6,2.2,46.0,10.0,0.11,0.082,16.0,6.0,3.0,22.0,11.7,35.0,20.0,
Miami,33100,3.0,1.4,47.0,8.0,0.09,0.063,17.0,3.0,0.0,20.0,8.6,49.0,22.0,
Milwaukee,33340,,,52.0,11.0,0.1,0.075,25.0,7.0,1.0,27.0,11.9,50.0,21.0,
