Location,CBSA Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Minneapolis,33460,4.8,1.7,46.0,9.0,0.08,0.065,16.0,4.0,1.0,28.0,10.0,84.0,28.0,
Nashville,34980,1.9,1.5,42.0,12.0,0.1,0.077,12.0,5.0,2.0,,,33.0,19.0,
New York City,35620,4.0,2.8,71.0,25.0,0.12,0.089,41.0,20.0,5.0,33.0,12.2,63.0,30.0,1.03
Oklahoma City,36420,1.3,1.0,55.0,10.0,0.1,0.084,5.0,3.0,1.0,23.0,10.2,62.0,28.0,
Omaha,36540,2.4,1.6,,,0.08,0.066,,,,28.0,11.7,83.0,26.0,0.14
Philadelphia,37980,2.5,1.8,76.0,20.0,0.11,0.092,22.0,10.0,3.0,32.0,13.0,74.0,33.0,0.02
Phoenix,38060,3.9,2.9,65.0,25.0,0.1,0.082,8.0,4.0,1.0,42.0,13.2,1638.0,139.0,
Portland,38900,3.0,2.4,34.0,9.0,0.08,0.063,,,,40.0,8.6,46.0,14.0,0.04
Sacramento,40900,3.0,2.4,50.0,13.0,0.12,0.094,2.0,1.0,0.0,55.0,12.7,58.0,25.0,
San Antonio,41700,,,28.0,4.0,0.09,0.079,,,,27.0,9.7,45.0,23.0,
San Diego,41740,3.4,2.2,73.0,20.0,0.1,0.082,1.0,0.0,0.0,24.0,10.9,99.0,45.0,
San Francisco,41860,3.7,2.6,80.0,16.0,0.1,0.075,21.0,6.0,3.0,28.0,10.1,44.0,18.0,
San Jose,41940,2.3,2.0,49.0,15.0,0.09,0.069,17.0,5.0,1.0,31.0,9.9,40.0,18.0,
San Juan,41980,16.3,3.1,,,0.09,0.043,,,,,,76.0,28.0,
Seattle,42660,1.0,0.8,,,0.08,0.059,23.0,8.0,1.0,36.0,8.5,,,
Tucson,46060,2.5,1.6,47.0,12.0,0.09,0.075,6.0,1.0,0.0,14.0,5.8,226.0,42.0,
Tulsa,46140,2.0,1.4,,9.0,0.11,0.085,68.0,25.0,5.0,24.0,11.2,113.0,28.0,
Virginia Beach,47260,4.2,1.4,43.0,10.0,0.1,0.076,54.0,9.0,2.0,42.0,10.5,58.0,19.0,
District of Columbia,47900,4.2,2.4,55.0,16.0,0.11,0.087,20.0,8.0,4.0,27.0,11.8,42.0,18.0,
Wichita,48620,3.6,3.4,69.0,12.0,0.1,0.08,,,,28.0,9.6,80.0,24.0,
