Location,CBSA Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Indianapolis,26900,4.0,2.5,39.0,11.0,0.09,0.075,98.0,24.0,3.0,28.0,13.7,54.0,24.0,0.03
Jacksonville,27260,2.0,1.6,38.0,8.0,0.09,0.065,73.0,22.0,2.0,33.0,8.3,61.0,23.0,
Kansas City,28140,2.3,1.6,50.0,15.0,0.1,0.075,175.0,69.0,6.0,25.0,10.6,48.0,27.0,
Las Vegas,29820,4.7,3.1,54.0,15.0,0.09,0.074,,,,18.0,9.1,121.0,28.0,
Los Angeles,31080,5.5,4.5,78.0,28.0,0.15,0.108,7.0,3.0,1.0,47.0,19.9,88.0,45.0,0.5
Louisville,31140,2.8,2.1,51.0,14.0,0.1,0.078,125.0,31.0,4.0,26.0,13.0,47.0,20.0,
Memphis,32820,2.7,2.0,40.0,9.0,0.09,0.071,10.0,4.0,3.0,22.0,9.9,41.0,18.0,
Miami,33100,2.8,2.2,43.0,9.0,0.08,0.064,61.0,14.0,1.0,16.0,7.5,65.0,23.0,
Milwaukee,33340,,,49.0,12.0,0.09,0.072,,,,42.0,11.9,39.0,20.0,
Minneapolis,33460,2.5,2.0,41.0,9.0,0.08,0.063,38.0,26.0,1.0,40.0,10.7,50.0,23.0,
Nashville,34980,2.2,1.7,41.0,12.0,0.09,0.07,13.0,7.0,2.0,,,34.0,19.0,
New York City,35620,4.2,2.1,72.0,26.0,0.1,0.081,61.0,26.0,6.0,33.0,12.7,78.0,28.0,0.08
Oklahoma City,36420,2.0,1.2,45.0,8.0,0.09,0.076,5.0,2.0,1.0,20.0,9.5,47.0,24.0,
Omaha,36540,2.9,2.3,,,0.07,0.064,73.0,22.0,2.0,21.0,10.2,113.0,28.0,
Philadelphia,37980,3.3,2.3,56.0,20.0,0.1,0.074,32.0,18.0,6.0,37.0,11.3,80.0,37.0,0.03
Phoenix,38060,5.0,3.3,70.0,25.0,0.09,0.073,10.0,4.0,2.0,72.0,14.2,887.0,104.0,
Portland,38900,4.1,2.3,40.0,10.0,0.1,0.069,9.0,4.0,2.0,33.0,9.2,43.0,18.0,
Sacramento,40900,3.2,2.8,51.0,13.0,0.12,0.096,3.0,2.0,0.0,39.0,11.3,74.0,25.0,
San Antonio,41700,3.1,1.8,48.0,12.0,0.09,0.075,31.0,4.0,1.0,21.0,9.4,84.0,21.0,
San Diego,41740,4.3,3.0,77.0,21.0,0.11,0.085,24.0,7.0,4.0,30.0,15.0,114.0,53.0,
San Francisco,41860,3.8,1.9,55.0,16.0,0.11,0.081,18.0,7.0,1.0,32.0,9.4,35.0,18.0,
San Jose,41940,2.9,2.3,51.0,15.0,0.1,0.077,,,,30.0,10.1,40.0,19.0,
San Juan,41980,9.4,2.5,,,0.17,0.043,20.0,3.0,1.0,,,125.0,24.0,
Seattle,42660,4.0,2.6,,,0.09,0.076,28.0,8.0,1.0,48.0,9.8,,,
Tucson,46060,2.2,1.2,44.0,12.0,0.08,0.068,5.0,2.0,1.0,12.0,5.5,127.0,39.0,
Tulsa,46140,3.2,1.3,,9.0,0.1,0.074,63.0,23.0,4.0,23.0,10.7,77.0,24.0,
Virginia Beach,47260,1.3,0.8,,,0.08,0.066,,,,20.0,9.6,35.0,18.0,
District of Columbia,47900,4.2,3.8,63.0,18.0,0.1,0.072,39.0,17.0,5.0,26.0,10.7,47.0,19.0,
Wichita,48620,2.8,1.7,40.0,8.0,0.09,0.073,4.0,2.0,1.0,19.0,8.9,55.0,25.0,
