Location,CBSA Code,CO 2nd Max 1-hr,CO 2nd Max 8-hr,NO2 98th Percentile 1-hr,NO2 Mean 1-hr,Ozone 2nd Max 1-hr,Ozone 4th Max 8-hr,SO2 99th Percentile 1-hr,SO2 2nd Max 24-hr,SO2 Mean 1-hr,PM2.5 98th Percentile 24-hr,PM2.5 Weighted Mean 24-hr,PM10 2nd Max 24-hr,PM10 Mean 24-hr,Lead Max 3-Mo Avg
Albuquerque,10740,2.6,2.4,48.0,12.0,0.08,0.068,,,,17.0,5.3,119.0,40.0,
Atlanta,12060,2.7,1.5,50.0,11.0,0.1,0.077,31.0,10.0,2.0,26.0,12.1,34.0,21.0,
Austin,12420,0.7,0.4,20.0,3.0,0.08,0.076,,,,27.0,10.1,41.0,18.0,
Baltimore,12580,5.8,1.9,59.0,18.0,0.12,0.083,54.0,16.0,3.0,31.0,12.1,24.0,15.0,
Boston,14460,2.3,1.6,58.0,20.0,0.09,0.075,42.0,12.0,3.0,24.0,10.3,42.0,18.0,
Charlotte,16740,2.1,1.7,44.0,10.0,0.09,0.073,26.0,6.0,1.0,21.0,10.7,40.0,22.0,
Chicago,16980,7.5,2.3,79.0,25.0,0.09,0.075,114.0,35.0,4.0,35.0,13.4,77.0,27.0,0.06
Cleveland,17460,17.3,6.6,,17.0,0.09,0.072,186.0,70.0,10.0,30.0,12.9,74.0,34.0,
Colorado Springs,17820,3.6,1.9,,,0.07,0.064,,,,11.0,5.6,32.0,17.0,
Columbus,18140,2.2,1.5,,,0.08,0.073,,,,26.0,11.5,56.0,26.0,
Dallas,19100,2.3,1.5,52.0,12.0,0.11,0.091,18.0,4.0,1.0,21.0,10.2,43.0,18.0,0.35
Denver,19740,6.8,2.2,,14.0,0.1,0.079,33.0,5.0,1.0,22.0,8.1,93.0,28.0,
Detroit,19820,1.9,1.2,50.0,13.0,0.09,0.073,79.0,29.0,3.0,36.0,12.1,73.0,21.0,
El Paso,21340,6.2,4.0,62.0,16.0,0.1,0.072,11.0,4.0,1.0,41.0,15.4,90.0,31.0,0.04
Fresno,23420,2.9,2.0,57.0,14.0,0.12,0.1,8.0,4.0,2.0,56.0,15.1,71.0,35.0,
Houston,26420,3.1,2.0,59.0,14.0,0.14,0.091,59.0,30.0,4.0,26.0,12.6,102.0,36.0,0.01
