"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","14","6","65","20","."
"10300","Adrian, MI",".",".",".",".","0.08","0.069",".",".",".","15","7.5",".",".","."
"10420","Akron, OH","1.4","1.1",".",".","0.09","0.061","10","3","0","22","10.2",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","28","8.7",".",".","."
"10580","Albany-Schenectady-Troy, NY","1.4","0.8",".",".","0.09","0.068","4","2","0","18","6.3",".",".","."
"10740","Albuquerque, NM","2.2","1.9","44","10","0.08","0.067","6","2","1","19","7.6","205","35","0"
"10900","Allentown-Bethlehem-Easton, PA-NJ",".",".","48","11","0.09","0.075","19","5","1","25","10.5","31","12","0.11"
"11020","Altoona, PA",".",".",".",".","0.08","0.062","13","6","0","22","8.2",".",".","."
"11100","Amarillo, TX",".",".",".",".","0.07","0.064","17","2","0",".",".",".",".","0"
"11140","Americus, GA",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","4","3",".",".","0.05","0.044",".",".",".","29","6.5","115","28","."
"11460","Ann Arbor, MI",".",".",".",".","0.08","0.074",".",".",".","18","8.1",".",".","."
"11540","Appleton, WI",".",".",".",".","0.08","0.066",".",".",".","21","6.7",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.069",".",".",".",".",".",".",".","."
"11640","Arecibo, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","0.07"
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.055",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.09","0.067",".",".",".","40","8.5",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.08","0.072","7","3","0",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","11","6.2",".",".","."
"11940","Athens, TN",".",".",".",".",".",".",".",".",".","28","8.9",".",".","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.08","0.069",".",".",".","15","8.3",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.7","2.2","54","20","0.1","0.078","6","3","1","24","10.8","43","17","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.08","0.063","5","1","0","15","7.2",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".",".",".","0.08","0.065","58","10","2","30","9.6","35","15","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.07","0.059",".",".",".","19","5.6","28","11","."
"12420","Austin-Round Rock, TX",".","0.6","47","14","0.08","0.064","4","1","0",".",".","72","23","."
"12540","Bakersfield, CA","1.8","0.9","50","12","0.11","0.088",".",".",".","55","16","98","47","."
"12580","Baltimore-Columbia-Towson, MD","2","1.5","55","17","0.1","0.079","13","3","1","22","9.7","32","16","."
"12620","Bangor, ME",".",".",".",".","0.07","0.057",".",".",".","14","6","45","13","."
