"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","23","9","48","17","."
"10260","Adjuntas, PR",".",".",".",".",".",".",".",".",".","17","5.8",".",".","."
"10300","Adrian, MI",".",".",".",".","0.1","0.082",".",".",".",".",".",".",".","."
"10420","Akron, OH","3.1","1.7",".",".","0.11","0.092","140","37","8","45","16.4",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","35","14.6","54","23","."
"10580","Albany-Schenectady-Troy, NY","3.3","2.4",".",".","0.1","0.084","25","21","5","36","12.4",".",".","."
"10740","Albuquerque, NM","4.3","3.1","51","16","0.09","0.077",".",".",".","21","8.1","271","54","."
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","31","12",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","2.5","1.9","53","15","0.1","0.086","90","34","9","37","14.5","139","38","."
"11020","Altoona, PA","1.9","1.1","52","13","0.09","0.077","72","36","7",".",".","74","21","."
"11140","Americus, GA",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.08","0.065",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","8.1","4.8",".",".",".",".",".",".",".","25","6.9","145","24","."
"11460","Ann Arbor, MI",".",".",".",".","0.1","0.084",".",".",".","55","16.7",".",".","."
"11540","Appleton, WI",".",".",".",".","0.09","0.079",".",".",".","37","11.5",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.1","0.085",".",".",".",".",".",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.08","0.074",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.1","0.084",".",".",".","32","13.7",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.1","0.093","39","20","4",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","33","13.3",".",".","."
"11940","Athens, TN",".",".","42","12",".",".","107","27","7","34","14.8","80","39","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.1","0.082",".",".",".",".",".",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","3.2","2.3","77","17","0.12","0.092","72","19","3","37","17","60","27","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.1","0.084","20","9","2",".",".","50","23","."
"12260","Augusta-Richmond County, GA-SC",".",".","25","4","0.1","0.081",".",".",".","35","16.1","47","21","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.1","0.07",".",".",".",".",".","34","15","."
"12420","Austin-Round Rock, TX","1","0.7","32","4","0.1","0.082",".",".",".",".",".","33","19","."
"12540","Bakersfield, CA","3.2","2","70","21","0.13","0.108",".",".",".","75","19.8","102","43","."
"12580","Baltimore-Columbia-Towson, MD","9.2","2.7","74","22","0.13","0.099","97","19","5","44","17.2","60","27","."
"12620","Bangor, ME",".",".",".",".","0.08","0.067",".",".",".",".",".","48","19","."
"12660","Baraboo, WI",".",".",".",".","0.08","0.076",".",".",".","31","10.7",".",".","."
"12700","Barnstable Town, MA",".",".",".",".","0.1","0.088",".",".",".",".",".",".",".","."
"12940","Baton Rouge, LA","3.1","2.1","58","16","0.13","0.097","167","38","8","30","15.7","72","34","."
"13020","Bay City, MI",".",".",".",".",".",".",".",".",".","41","12.4",".",".","."
"13140","Beaumont-Port Arthur, TX",".","1.3","39","9","0.11","0.083","84","25","4",".",".",".",".","."
"13180","Beaver Dam, WI",".",".",".",".","0.1","0.082",".",".",".","35","11.2",".",".","."
"13220","Beckley, WV",".",".",".",".",".",".",".",".",".","31","13.9",".",".","."
"13260","Bedford, IN",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"13340","Bellefontaine, OH",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"13380","Bellingham, WA",".",".",".",".","0.06","0.055",".",".",".",".",".",".",".","."
"13460","Bend-Redmond, OR","6.4","2.5",".",".",".",".",".",".",".",".",".","54","18","."
"13540","Bennington, VT",".",".",".",".","0.09","0.073",".",".",".","28","9.5",".",".","."
"13620","Berlin, NH-VT",".",".",".",".","0.08","0.068",".",".",".","26","10.6",".",".","."
"13740","Billings, MT","5.6","3.5",".",".","0.07","0.058","76","24","5","21","7.5","32","15","."
"13820","Birmingham-Hoover, AL","20.9","8.8",".",".","0.11","0.085","70","14","3","50","19.6","179","49","."
"13860","Bishop, CA",".",".",".",".","0.09","0.085",".",".",".",".",".","3538","54","."
"13900","Bismarck, ND",".",".","21","2","0.06","0.057","61","12","1","17","6.5",".",".","."
"13980","Blacksburg-Christiansburg-Radford, VA",".",".",".",".","0.09","0.08",".",".",".",".",".",".",".","."
"14010","Bloomington, IL",".",".",".",".","0.09","0.077",".",".",".","43","13.4",".",".","."
"14020","Bloomington, IN",".",".",".",".","0.09","0.079",".",".",".",".",".",".",".","."
"14180","Blytheville, AR",".",".",".",".",".",".",".",".",".","38","14.8",".",".","."
