"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".",".",".","37","18","."
"10300","Adrian, MI",".",".",".",".","0.08","0.068",".",".",".","23","8.8",".",".","."
"10420","Akron, OH","1.4","0.8",".",".","0.07","0.061","21","7","2","24","10.8",".",".","."
"10580","Albany-Schenectady-Troy, NY","1.3","0.7",".",".","0.07","0.061","8","4","2","19","7.3",".",".","."
"10740","Albuquerque, NM","2.8","1.2","42","12","0.08","0.064","6","2","1","23","7.4","152","36","0"
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","16","7.7",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","1.6","1.1","50","13","0.08","0.068","78","15","1","30","10.7","52","17","0.15"
"11020","Altoona, PA",".",".",".",".","0.08","0.06",".",".",".","25","11.1","34","14","."
"11100","Amarillo, TX",".",".",".",".","0.07","0.066","19","3","0",".",".",".",".","0"
"11140","Americus, GA",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","4.8","2.8",".",".","0.05","0.044",".",".",".","40","8","213","22","."
"11460","Ann Arbor, MI",".",".",".",".","0.08","0.07",".",".",".","25","9.8",".",".","."
"11540","Appleton, WI",".",".",".",".","0.08","0.07",".",".",".","24","8.6",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"11640","Arecibo, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","2.04"
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.08","0.067",".",".",".","21","8.7",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.08","0.069","17","6","2",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","18","7.8",".",".","."
"11940","Athens, TN",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.07","0.063",".",".",".","24","10.3",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.1","1.7","53","11","0.1","0.079","6","3","1","28","12.1","61","18","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.07","0.061","7","3","0","20","8.1",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".",".",".","0.08","0.062","58","8","2","19","10.3",".",".","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.07","0.057",".",".",".",".",".","33","13","."
"12420","Austin-Round Rock, TX","0.5","0.3","31","5","0.08","0.063","5","2","0","22","10","78","26","."
"12540","Bakersfield, CA","1.9","1.1","55","13","0.11","0.089",".",".",".","80","18.6","104","24","."
"12580","Baltimore-Columbia-Towson, MD","1.8","1.3","52","18","0.09","0.07","26","7","1","23","11.1","29","14","."
"12620","Bangor, ME",".",".",".",".","0.07","0.054",".",".",".",".",".",".",".","."
"12660","Baraboo, WI",".",".",".",".","0.08","0.064",".",".",".","21","7.8","28","10","."
"12700","Barnstable Town, MA",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"12940","Baton Rouge, LA","4.9","1.3","49","11","0.09","0.075","25","10","2","22","10","72","24","."
"13020","Bay City, MI",".",".",".",".",".",".",".",".",".","21","8.2",".",".","."
"13140","Beaumont-Port Arthur, TX","0.6","0.4","33","6","0.09","0.068","57","19","1",".",".",".",".","."
"13180","Beaver Dam, WI","0.4","0.4",".",".","0.08","0.071","6","4","0","27","8.5","30","12","."
"13340","Bellefontaine, OH",".",".",".",".",".",".",".",".",".",".",".",".",".","0"
"13380","Bellingham, WA",".",".",".",".","0.06","0.047",".",".",".","18","7.7",".",".","."
"13460","Bend-Redmond, OR",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"13540","Bennington, VT",".",".",".",".","0.07","0.061",".",".",".","13","6.3",".",".","."
"13620","Berlin, NH-VT",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"13740","Billings, MT",".",".",".",".",".",".","93","22","3",".",".",".",".","."
"13820","Birmingham-Hoover, AL","13.8","2.4","51","14","0.08","0.065","17","5","2","26","11.7","98","25","0.03"
"13860","Bishop, CA",".",".",".",".","0.08","0.069",".",".",".","29","7.9","577","28","."
"13900","Bismarck, ND",".",".","34","6","0.07","0.06","17","3","1","16","6.7","67","14","."
"13980","Blacksburg-Christiansburg-Radford, VA",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"14010","Bloomington, IL",".",".",".",".","0.07","0.066",".",".",".",".",".",".",".","."
"14020","Bloomington, IN",".",".",".",".","0.07","0.064",".",".",".","27","10",".",".","."
"14260","Boise City, ID","4.4","2.1",".",".","0.08","0.065","5","3","1",".",".","61","18","0"
"14380","Boone, NC",".",".",".",".",".",".",".",".",".","14","7.2",".",".","."
"14460","Boston-Cambridge-Newton, MA-NH","1.7","1.1","53","17","0.08","0.07","32","7","1","19","10.1","66","16","0"
"14500","Boulder, CO",".",".",".",".","0.09","0.07",".",".",".","26","7.5","55","24","."
"14540","Bowling Green, KY","0.3","0.3",".",".","0.07","0.065","11","4","1","21","9.4",".",".","."
"14580","Bozeman, MT","3.5","0.9","28","2",".",".",".",".",".",".",".",".",".","."
"14660","Brainerd, MN",".",".",".",".","0.07","0.057",".",".",".","18","5.1",".",".","."
"14700","Branson, MO",".",".",".",".","0.06","0.058",".",".",".",".",".",".",".","."
"14740","Bremerton-Silverdale, WA",".",".",".",".",".",".",".",".",".","12","4.7",".",".","."
"14860","Bridgeport-Stamford-Norwalk, CT","2.4","1.4","48","9","0.11","0.081","8","5","1","25","8.7","35","18","."
"15100","Brookings, SD",".",".",".",".","0.07","0.061",".",".",".",".",".","65","17","."
"15180","Brownsville-Harlingen, TX","1.1","0.7",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"15260","Brunswick, GA",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"15380","Buffalo-Cheektowaga-Niagara Falls, NY","1.6","1.3",".","9","0.07","0.063","8","5","1",".",".",".",".","."
"15500","Burlington, NC",".",".",".",".",".",".",".",".",".","16","8.1",".",".","."
"15540","Burlington-South Burlington, VT","1.6","0.6",".","7","0.07","0.059",".",".",".","17","6.7","20","7","."
"15580","Butte-Silver Bow, MT",".",".",".",".",".",".",".",".",".","38","9.1","57","20","."
"15620","Cadillac, MI",".",".","8","1","0.07","0.066",".",".",".","16","5.6",".",".","."
"15700","Cambridge, MD","0.4","0.3",".",".","0.08","0.065","8","5","1","19","8.6",".",".","."
"15860","Ca¤on City, CO",".",".",".",".",".",".",".",".",".",".",".","47","18","."
"15940","Canton-Massillon, OH","1.5","1.1",".",".","0.08","0.065",".",".",".","25","11.6",".",".","."
"15980","Cape Coral-Fort Myers, FL",".",".",".",".","0.07","0.063",".",".",".","13","6","49","14","."
"16100","Carlsbad-Artesia, NM",".",".","20","3","0.08","0.072",".",".",".",".",".",".",".","."
"16180","Carson City, NV",".",".",".",".","0.08","0.068",".",".",".","18","5.5",".",".","."
"16220","Casper, WY",".",".","38","5","0.07","0.061","33","20","2","14","4.7","32","14","."
"16300","Cedar Rapids, IA","1.5","0.9",".",".","0.07","0.061","113","59","3","24","10","52","23","."
"16540","Chambersburg-Waynesboro, PA",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","0.01"
"16580","Champaign-Urbana, IL","0.4","0.3",".",".","0.08","0.068","15","7","1",".",".",".",".","."
"16620","Charleston, WV",".",".",".",".","0.08","0.067","47","14","2","20","9.9",".",".","."
"16700","Charleston-North Charleston, SC",".",".",".","7","0.07","0.06","11","3","0","18","9.1","30","15","."
"16740","Charlotte-Concord-Gastonia, NC-SC","1.7","1.3","41","9","0.09","0.068","6","2","0","20","9.2","39","17","0"
"16820","Charlottesville, VA",".",".",".",".",".",".",".",".",".","15","7.4",".",".","."
"16860","Chattanooga, TN-GA",".",".",".",".","0.08","0.067",".",".",".","23","10.4","24","13","."
"16940","Cheyenne, WY","0.4","0.3",".","4","0.07","0.065","4","1","0","12","3.8","31","11","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","5.3","1.9","67","21","0.09","0.076","53","12","2","34","14.7","80","28","0.15"
"17020","Chico, CA","2.9","1.4","37","7","0.09","0.074",".",".",".","26","8.8",".",".","."
"17140","Cincinnati, OH-KY-IN","1.1","1.1","59","23","0.09","0.073","71","17","2","28","13.3","75","32","0.01"
"17200","Claremont-Lebanon, NH-VT",".",".",".",".","0.08","0.062",".",".",".","15","6.3",".",".","."
"17220","Clarksburg, WV",".",".",".",".",".",".",".",".",".","18","8.7",".",".","."
"17300","Clarksville, TN-KY",".",".",".",".","0.07","0.066","34","8","2","22","9.4","26","16","."
"17340","Clearlake, CA",".",".",".",".","0.07","0.061",".",".",".","14","4.1","22","9","."
"17380","Cleveland, MS",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"17460","Cleveland-Elyria, OH","7.1","3.7","48","12","0.08","0.075","80","22","4","27","12.5","93","38","0.03"
"17540","Clinton, IA",".",".",".",".","0.07","0.065","22","7","1","28","10.4",".",".","."
"17640","Coco, PR",".",".",".",".",".",".","27","6","1",".",".",".",".","0.01"
"17820","Colorado Springs, CO","3.4","2.2",".",".","0.07","0.064","57","12","3","13","5.8","41","20","."
"17860","Columbia, MO",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"17900","Columbia, SC","1","0.7",".",".","0.08","0.065","15","3","0","15","9.3","41","17","0"
"17980","Columbus, GA-AL",".",".",".",".","0.07","0.061",".",".",".","20","10.7",".",".","."
"18020","Columbus, IN",".",".","22","3","0.08","0.067","17","6","2",".",".",".",".","."
"18140","Columbus, OH","1.8","1.3","51","12","0.08","0.07","17","6","0","24","10.9","46","23","."
"18180","Concord, NH",".",".",".",".","0.08","0.061","26","5","1","16","6.5",".",".","."
