"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","23","8.1","53","19","."
"10300","Adrian, MI",".",".",".",".","0.08","0.067",".",".",".","30","9.7",".",".","."
"10420","Akron, OH","5.8","2.1",".",".","0.08","0.071","35","13","2","26","11.6",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","32","11.8","57","26","."
"10580","Albany-Schenectady-Troy, NY","1.7","1.2",".",".","0.08","0.068","23","13","4","19","7.7",".",".","."
"10740","Albuquerque, NM","2.6","2.4","48","12","0.08","0.068",".",".",".","17","5.3","119","40","."
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","17","8.4",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","2.2","1.7","42","11","0.08","0.069","46","16","3","25","8.6","53","18","."
"11020","Altoona, PA",".",".",".",".","0.07","0.065","51","21","4",".",".","39","16","."
"11100","Amarillo, TX",".",".",".",".","0.07","0.063",".",".",".","12","5.6",".",".","."
"11140","Americus, GA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","7.6","5.8",".",".",".",".",".",".",".","25","7.3","136","23","."
"11460","Ann Arbor, MI",".",".",".",".","0.08","0.065",".",".",".","28","9.9",".",".","."
"11540","Appleton, WI",".",".",".",".","0.07","0.064",".",".",".","34","10.4",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.072",".",".",".",".",".",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.07","0.066",".",".",".","21","9.3","27","13","."
"11780","Ashtabula, OH",".",".",".",".","0.09","0.075","34","12","3",".",".",".",".","."
"11900","Athens, OH","1.3","1.2","27","4","0.08","0.067","58","22","4","18","9.1",".",".","."
"11940","Athens, TN",".",".","32","6",".",".",".",".",".",".",".","37","21","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.08","0.067",".",".",".","20","10.3",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.7","1.5","50","11","0.1","0.077","31","10","2","26","12.1","34","21","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.08","0.071","14","9","1","19","8",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".",".",".","0.08","0.068",".",".",".","24","12","43","24","."
