"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10300","Adrian, MI",".",".",".",".","0.09","0.082",".",".",".",".",".",".",".","."
"10420","Akron, OH","5.6","2.6",".",".","0.11","0.085","163","44","9","37","16.3","52","22","."
"10460","Alamogordo, NM",".",".",".",".",".",".",".",".",".",".",".","56","20","."
"10540","Albany, OR",".",".",".",".",".",".",".",".",".","33","9.1",".",".","."
"10580","Albany-Schenectady-Troy, NY","5.2","2.9",".",".","0.09","0.072","56","20","4","30","12.4",".",".","."
"10740","Albuquerque, NM","7","3.8","47","17","0.09","0.076",".",".",".","27","11.3","131","51","."
"10780","Alexandria, LA",".",".",".",".","0.1","0.084",".",".",".","30","13.3",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","5.5","2.6","61","17","0.11","0.092","67","27","7","38","14.3",".",".","."
"11020","Altoona, PA","1.7","1","52","14","0.1","0.08","62","45","5",".",".",".",".","."
"11140","Americus, GA",".",".",".",".","0.11","0.092",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.08","0.07",".",".",".","27","9.8",".",".","."
"11260","Anchorage, AK","10.6","5.5",".",".",".",".",".",".",".","28","6.1","125","26","."
"11460","Ann Arbor, MI",".",".",".",".","0.1","0.078",".",".",".",".",".",".",".","."
"11540","Appleton, WI",".",".",".",".","0.08","0.066",".",".",".","32","11.5",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.12","0.096",".",".",".","24","10.2",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.1","0.08",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.11","0.09",".",".",".","34","15.5","51","27","."
"11780","Ashtabula, OH",".",".",".",".","0.11","0.082","50","21","5",".",".",".",".","."
"11940","Athens, TN",".",".","54","15",".",".","108","22","6",".",".","96","40","."
"12060","Atlanta-Sandy Springs-Roswell, GA","4.6","3.2","88","23","0.16","0.113","87","19","5","53","21.5","84","36","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.11","0.085","20","13","3",".",".","42","23","."
"12140","Auburn, IN",".",".",".",".",".",".",".",".",".",".",".","60","24","."
"12260","Augusta-Richmond County, GA-SC",".",".",".","3","0.12","0.093",".",".",".","28","14.8","39","21","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"12420","Austin-Round Rock, TX","1.8","1.1","36","5","0.11","0.088",".",".",".","27","12.1","50","23","."
"12540","Bakersfield, CA","8.9","5.2","79","24","0.14","0.111",".",".",".","94","22.6","143","53","."
"12580","Baltimore-Columbia-Towson, MD","4.6","3.4","65","23","0.12","0.099","69","24","6","42","17.4","75","35","."
"12620","Bangor, ME",".",".",".",".","0.07","0.062",".",".",".",".",".","37","17","."
"12660","Baraboo, WI",".",".",".",".","0.08","0.073",".",".",".",".",".",".",".","."
"12700","Barnstable Town, MA",".",".",".",".","0.11","0.083",".",".",".",".",".",".",".","."
"12740","Barre, VT",".",".",".",".",".",".",".",".",".","24","10.1","43","17","."
"12940","Baton Rouge, LA","6.2","3.6","69","17","0.14","0.101","151","31","6","36","15",".",".","."
"13140","Beaumont-Port Arthur, TX",".",".","45","8","0.16","0.097","171","46","5",".",".",".",".","."
"13180","Beaver Dam, WI",".",".",".",".","0.09","0.074",".",".",".","28","11.6",".",".","."
"13220","Beckley, WV",".",".",".",".",".",".",".",".",".","32","13.7","43","18","."
"13340","Bellefontaine, OH",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"13380","Bellingham, WA",".",".",".",".","0.06","0.052",".",".",".","21","8.4","29","15","."
"13460","Bend-Redmond, OR","7.9","4.2",".",".",".",".",".",".",".","25","7.3","113","32","."
"13540","Bennington, VT",".",".",".",".","0.09","0.071",".",".",".","23","9.5","28","15","."
"13620","Berlin, NH-VT",".",".",".",".",".",".","121","30","4",".",".","72","28","."
"13740","Billings, MT","8.2","4.9",".",".",".",".","100","26","6","28","8.5","43","17","."
"13820","Birmingham-Hoover, AL","23.6","16.3",".",".","0.13","0.099","149","57","10","53","22.3","157","42","."
"13860","Bishop, CA",".",".",".",".","0.09","0.079",".",".",".",".",".","6230","141","."
"13900","Bismarck, ND",".",".",".","2","0.06","0.055","132","53","6","14","6.6",".",".","."
"13980","Blacksburg-Christiansburg-Radford, VA",".",".",".",".","0.1","0.082",".",".",".",".",".",".",".","."
"14010","Bloomington, IL",".",".",".",".",".",".",".",".",".","33","14.9",".",".","."
