"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","23","7.5","62","21","."
"10300","Adrian, MI",".",".",".",".","0.11","0.087",".",".",".","27","9",".",".","."
"10420","Akron, OH","1.5","1.1",".",".","0.08","0.074","47","16","3","22","10.9",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".",".",".","29","17","."
"10580","Albany-Schenectady-Troy, NY","1.1","0.7",".",".","0.09","0.073","9","3","1","18","7.6",".",".","."
"10740","Albuquerque, NM","3.2","2.2","49","14","0.09","0.077","6","2","1","25","7.4","152","31","0.01"
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","19","8.6",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","1.7","1.4","43","13","0.08","0.075","66","17","2","33","12.4","47","17","."
"11020","Altoona, PA",".",".",".",".","0.1","0.08","28","11","3","26","11.7","40","15","."
"11100","Amarillo, TX",".",".",".",".","0.09","0.074",".",".",".",".",".",".",".","."
"11140","Americus, GA",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","7.4","5.5",".",".","0.05","0.046",".",".",".","33","8","121","24","."
"11460","Ann Arbor, MI",".",".",".",".","0.09","0.085",".",".",".","23","9.9",".",".","."
"11540","Appleton, WI",".",".",".",".","0.09","0.077",".",".",".",".",".",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"11640","Arecibo, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","0.2"
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.09","0.07",".",".",".","18","8.9",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.1","0.079","53","9","1",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","16","8.7",".",".","."
