"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","27","8.7","46","20","."
"10300","Adrian, MI",".",".",".",".","0.07","0.066",".",".",".","22","8.9",".",".","."
"10420","Akron, OH","2.2","1.7",".",".","0.08","0.076","38","23","2","32","13.2",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".",".",".","50","21","."
"10580","Albany-Schenectady-Troy, NY","2.3","1.4",".",".","0.09","0.073","16","7","2","28","8.5",".",".","."
"10740","Albuquerque, NM","2.9","2.6","53","12","0.08","0.069",".",".",".","15","5.3","122","43","."
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","20","9.2",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","1.3","1.1","41","11","0.1","0.082","57","18","2","33","13.7","64","20","."
"11020","Altoona, PA",".",".",".",".","0.1","0.072","36","19","5",".",".","52","16","."
"11100","Amarillo, TX",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"11140","Americus, GA",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.061",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","8.1","6.1",".",".","0.05","0.045",".",".",".","23","6.2","89","19","."
"11460","Ann Arbor, MI",".",".",".",".","0.08","0.066",".",".",".","23","9.4",".",".","."
"11540","Appleton, WI",".",".",".",".","0.07","0.062",".",".",".","37","9.7",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"11640","Arecibo, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","0.25"
"11660","Arkadelphia, AR",".",".",".",".","0.08","0.072",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.08","0.074",".",".",".","24","10.6",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.09","0.083","20","8","2",".",".",".",".","."
"11900","Athens, OH",".",".","26","4","0.08","0.07","71","17","5",".",".",".",".","."
"11940","Athens, TN",".",".","37","9",".",".","73","14","3",".",".","51","25","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.09","0.073",".",".",".","23","11.3",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.3","1.9","58","14","0.11","0.08","33","10","2","25","14.5","51","19","0.02"
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.09","0.08","10","6","1","21","9.2",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".",".",".","0.09","0.072",".",".",".","27","13.3","42","19","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.08","0.059",".",".",".",".",".","43","13","."
"12420","Austin-Round Rock, TX","1","0.5","21","3","0.09","0.074",".",".",".","18","10","34","17","."
"12540","Bakersfield, CA","1.6","0.8","63","14","0.14","0.1",".",".",".","53","14.2","88","34","."
"12580","Baltimore-Columbia-Towson, MD","2.7","1.9","61","18","0.12","0.096","20","7","2","32","12.7","45","16","."
"12620","Bangor, ME",".",".",".",".","0.08","0.059",".",".",".",".",".","43","15","."
