"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","28","7.7","69","24","."
"10260","Adjuntas, PR",".",".",".",".",".",".",".",".",".","9","4.7",".",".","."
"10300","Adrian, MI",".",".",".",".","0.08","0.072",".",".",".",".",".",".",".","."
"10420","Akron, OH","1.9","1.3",".",".","0.09","0.08","37","15","3","38","13.8",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".",".",".","39","23","."
"10580","Albany-Schenectady-Troy, NY","2.7","1.8",".",".","0.1","0.078","22","15","4","26","9.5",".",".","."
"10740","Albuquerque, NM","4.6","2.6","65","13","0.09","0.07",".",".",".","11","6","135","33","."
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","19","9",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","2","1.6","43","12","0.1","0.08","58","24","4","33","12.3","114","26","."
"11020","Altoona, PA","2","0.8","52","11","0.09","0.075","55","19","4",".",".","53","18","."
"11100","Amarillo, TX",".",".",".",".","0.07","0.065",".",".",".","17","6.4",".",".","."
"11140","Americus, GA",".",".",".",".","0.08","0.068",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.06","0.058",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","8.3","5.5",".",".",".",".",".",".",".","31","6.2","109","23","."
"11460","Ann Arbor, MI",".",".",".",".","0.08","0.069",".",".",".","31","13",".",".","."
"11540","Appleton, WI",".",".",".",".","0.07","0.062",".",".",".","31","11.2",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.073",".",".",".",".",".",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.09","0.08",".",".",".","25","11.7",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.09","0.075","36","13","3",".",".",".",".","."
"11900","Athens, OH",".",".","29","5","0.08","0.069","76","18","4",".",".",".",".","."
