"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","14","6.8","43","17","."
"10300","Adrian, MI",".",".",".",".","0.07","0.065",".",".",".","25","8.6",".",".","."
"10420","Akron, OH","2.6","2.1",".",".","0.07","0.065","14","4","1","28","13.8",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","33","10.9",".",".","."
"10580","Albany-Schenectady-Troy, NY","1","0.8",".",".","0.07","0.063","7","5","1","20","7.8",".",".","."
"10740","Albuquerque, NM","2.4","1.4","43","11","0.08","0.068","5","2","1","21","6.7","106","32","0"
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","15","7.2",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ",".",".","51","12","0.09","0.07","20","7","1","31","12.8","39","13","0.16"
"11020","Altoona, PA",".",".",".",".","0.08","0.069","31","13","2","25","11","34","13","."
"11100","Amarillo, TX",".",".",".",".","0.07","0.064",".",".",".",".",".",".",".","."
"11140","Americus, GA",".",".",".",".","0.07","0.057",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","4.9","2.8",".",".","0.05","0.047",".",".",".","38","6.8","158","17","."
"11460","Ann Arbor, MI",".",".",".",".","0.07","0.064",".",".",".","26","9.6",".",".","."
"11540","Appleton, WI",".",".",".",".","0.07","0.066",".",".",".","20","7.4",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.07","0.066",".",".",".","15","7.5",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.09","0.07","37","7","2",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","16","7.4",".",".","."
"11940","Athens, TN",".",".",".",".",".",".",".",".",".","16","8.1",".",".","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.07","0.061",".",".",".","19","8.4",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.3","1.8","54","20","0.1","0.077","4","1","1","28","11.8","55","17","0"
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.08","0.068","5","2","0","17","7",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".",".",".","0.07","0.06","63","8","2","18","8.9",".",".","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.07","0.063",".",".",".",".",".","26","12","."
"12420","Austin-Round Rock, TX",".",".","51","15","0.09","0.073","4","1","0",".",".","53","23","."
"12540","Bakersfield, CA","1.6","1","50","12","0.12","0.097",".",".",".","57","17.9","97","44","."
"12580","Baltimore-Columbia-Towson, MD","2.8","1.8","51","18","0.1","0.078","18","5","1","30","10.1","33","15","."
"12620","Bangor, ME",".",".",".",".","0.08","0.063",".",".",".","17","6.9","37","16","."
"12660","Baraboo, WI",".",".",".",".","0.07","0.063",".",".",".","18","7.2","42","10","."
"12940","Baton Rouge, LA","2.1","1.2","45","9","0.1","0.075","20","10","1","28","12.2","76","26","0"
"13020","Bay City, MI",".",".",".",".",".",".",".",".",".","23","7.7",".",".","."
"13140","Beaumont-Port Arthur, TX","0.7","0.5","32","5","0.1","0.075","63","12","1",".",".",".",".","."
"13180","Beaver Dam, WI","0.7","0.4",".",".","0.07","0.066","4","1","0",".",".","24","11","."
"13340","Bellefontaine, OH",".",".",".",".",".",".",".",".",".",".",".",".",".","0"
"13380","Bellingham, WA",".",".",".",".","0.06","0.048",".",".",".",".",".",".",".","."
"13420","Bemidji, MN",".",".",".",".",".",".",".",".",".","14","5",".",".","."
"13460","Bend-Redmond, OR",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"13540","Bennington, VT",".",".",".",".","0.08","0.063",".",".",".","16","6.3",".",".","."
"13620","Berlin, NH-VT",".",".",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"13740","Billings, MT",".",".",".",".",".",".","48","16","2",".",".",".",".","."
"13820","Birmingham-Hoover, AL","6.9","1.9","40","13","0.09","0.073","17","4","1","24","11.8","73","24","0.02"
"13860","Bishop, CA",".",".",".",".","0.08","0.07",".",".",".","24","7","627","26","."
"13900","Bismarck, ND",".",".","31","5","0.07","0.064","14","4","1","27","6.4","79","14","."
"13980","Blacksburg-Christiansburg-Radford, VA",".",".",".",".","0.07","0.063",".",".",".",".",".",".",".","."
"14010","Bloomington, IL",".",".",".",".","0.07","0.063",".",".",".","18","7.6",".",".","."
"14020","Bloomington, IN",".",".",".",".","0.08","0.067",".",".",".","19","8.7",".",".","."
"14260","Boise City, ID","5.7","2.5",".",".","0.08","0.066","3","2","1","36","9.5","91","24","0"
"14380","Boone, NC",".",".",".",".",".",".",".",".",".","12","5.9",".",".","."
"14460","Boston-Cambridge-Newton, MA-NH","1.6","0.9","56","17","0.09","0.067","23","7","1","19","8.8","37","14","0"
"14500","Boulder, CO",".",".",".",".","0.09","0.074",".",".",".","23","6.5","47","21","."
"14540","Bowling Green, KY","0.3","0.2",".",".","0.07","0.063","7","3","0","19","8.4",".",".","."
"14580","Bozeman, MT",".","0.7",".",".",".",".",".",".",".",".",".",".",".","."
"14660","Brainerd, MN",".",".",".",".","0.07","0.06",".",".",".","16","6.2",".",".","."
