"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","23","8.6","58","20","."
"10300","Adrian, MI",".",".",".",".","0.1","0.086",".",".",".",".",".",".",".","."
"10380","Aguadilla-Isabela, PR",".",".",".",".",".",".",".",".",".","16","6",".",".","."
"10420","Akron, OH","5.2","2.7",".",".","0.12","0.098","132","44","9","46","17.6","66","22","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","36","14.6","52","18","."
"10540","Albany, OR",".",".",".",".",".",".",".",".",".","29","8.2",".",".","."
"10580","Albany-Schenectady-Troy, NY","3.6","2.4",".",".","0.11","0.09","67","24","5","32","10.8",".",".","."
"10740","Albuquerque, NM","9.5","4.2","54","17","0.09","0.074",".",".",".","30","9.2","109","32","."
"10780","Alexandria, LA",".",".",".",".","0.09","0.078",".",".",".","29","12.2",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","4","3.3","57","16","0.13","0.094","67","30","14","43","15.3","78","20","."
"10980","Alpena, MI",".",".",".",".",".",".",".",".",".","35","9.9",".",".","."
"11020","Altoona, PA","2.4","1.1","52","14","0.11","0.083","68","42","9",".",".","76","23","."
"11140","Americus, GA",".",".",".",".","0.09","0.082",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.058",".",".",".","28","10.3",".",".","."
"11260","Anchorage, AK","12","7.7",".",".",".",".",".",".",".","29","6.3","127","25","."
"11460","Ann Arbor, MI",".",".",".",".","0.12","0.092",".",".",".","40","14.5",".",".","."
"11540","Appleton, WI",".",".",".",".","0.1","0.085",".",".",".","33","11.1",".",".","."
"11620","Ardmore, OK",".",".",".",".",".",".",".",".",".","25","10.3",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.08","0.073",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.09","0.082",".",".",".","36","14.9","46","21","."
"11780","Ashtabula, OH",".",".",".",".","0.12","0.097","56","25","4",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","32","12.4","40","18","."
"11940","Athens, TN",".",".","48","13",".",".","146","26","7",".",".","64","37","."
"12020","Athens-Clarke County, GA",".",".",".",".",".",".",".",".",".","51","17.5",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","5.3","4.1","89","23","0.13","0.092","102","17","3","44","19.1","111","37","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.11","0.095","19","10","3",".",".",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".","25","3","0.1","0.082","63","11","2","25","12.6",".",".","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.11","0.084",".",".",".",".",".","57","21","."
"12420","Austin-Round Rock, TX","1.7","0.9",".","4","0.1","0.08",".",".",".",".",".","37","21","."
"12540","Bakersfield, CA","5.8","3.4","94","22","0.13","0.109",".",".",".","96","21.8","186","52","."
"12580","Baltimore-Columbia-Towson, MD","4.4","3.3","68","23","0.14","0.112","87","26","6","48","17.4","75","32","."
"12620","Bangor, ME",".",".",".",".","0.11","0.087",".",".",".",".",".","37","17","."
"12660","Baraboo, WI",".",".",".",".","0.08","0.074",".",".",".",".",".",".",".","."
"12700","Barnstable Town, MA",".",".","26","2","0.14","0.105",".",".",".",".",".",".",".","."
"12740","Barre, VT",".",".",".",".",".",".",".",".",".","29","10.5","38","17","."
"12940","Baton Rouge, LA","6.5","4.8","64","17","0.12","0.088","126","22","6","32","14.2","61","33","."
"13020","Bay City, MI",".",".",".",".",".",".",".",".",".","34","11.5",".",".","."
"13140","Beaumont-Port Arthur, TX",".",".","49","10","0.12","0.09","124","54","5","31","11.4",".",".","."
"13180","Beaver Dam, WI",".",".",".",".","0.09","0.083",".",".",".","36","11.2",".",".","."
"13220","Beckley, WV",".",".",".",".",".",".",".",".",".","35","14",".",".","."
"13340","Bellefontaine, OH",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"13380","Bellingham, WA",".",".",".",".","0.06","0.05",".",".",".","18","7.2","26","12","."
"13460","Bend-Redmond, OR","7.8","3.1",".",".",".",".",".",".",".",".",".",".",".","."
