"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","13","6.3","42","16","."
"10300","Adrian, MI",".",".",".",".","0.07","0.066",".",".",".","18","7.3",".",".","."
"10420","Akron, OH","1.5","0.9",".",".","0.08","0.066","4","1","0","22","8.8",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","25","10.4",".",".","."
"10580","Albany-Schenectady-Troy, NY","1.1","0.8",".",".","0.07","0.061","4","1","0","15","6.5",".",".","."
"10740","Albuquerque, NM","2.2","1","45","10","0.08","0.071","4","1","0","19","7.5","126","35","0"
"10900","Allentown-Bethlehem-Easton, PA-NJ",".",".","44","10","0.08","0.07","105","59","1","27","12.6","29","12","0.09"
"11020","Altoona, PA",".",".",".",".","0.07","0.063","7","2","0","21","8.4",".",".","."
"11100","Amarillo, TX",".",".",".",".","0.08","0.068","114","24","2",".",".",".",".","."
"11140","Americus, GA",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","4.6","3.5",".",".","0.05","0.043",".",".",".","30","5.7","119","19","."
"11460","Ann Arbor, MI",".",".",".",".","0.09","0.069",".",".",".","19","8.3",".",".","."
"11540","Appleton, WI",".",".",".",".","0.07","0.064","90","21","1","16","5.7",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.077",".",".",".",".",".",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.07","0.063","207","69","5","15","7",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.09","0.069","5","3","1",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","12","6.3",".",".","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.07","0.063",".",".",".","16","7.8",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.3","1.8","46","18","0.09","0.074","7","3","1","22","10.4","41","17","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.07","0.063","3","1","0","18","6.9",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".",".",".","0.07","0.061","35","8","1","21","9.1","104","23","."
