"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","18","7.1","29","16","."
"10300","Adrian, MI",".",".",".",".","0.08","0.076",".",".",".","24","9.6",".",".","."
"10420","Akron, OH","1.6","1.4",".",".","0.09","0.076","40","18","3","27","11.6",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".",".",".","35","18","."
"10540","Albany, OR",".",".",".",".",".",".",".",".",".","25","8.3",".",".","."
"10580","Albany-Schenectady-Troy, NY","1.2","0.9",".",".","0.08","0.066","15","10","2","24","8.7",".",".","."
"10740","Albuquerque, NM","3.1","2.2","50","13","0.09","0.076","4","2","0","40","6.9","165","36","."
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","23","8.6",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","1.7","1.1","50","14","0.09","0.079","125","20","3","35","14.5","68","21","."
"11020","Altoona, PA",".",".",".",".","0.09","0.074","32","13","3","30","11.8","44","15","."
"11100","Amarillo, TX",".",".",".",".",".",".",".",".",".",".",".",".",".","0.01"
"11140","Americus, GA",".",".",".",".","0.08","0.066",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","6.4","4.2",".",".","0.05","0.049",".",".",".","31","5.8","174","21","."
"11460","Ann Arbor, MI",".",".",".",".","0.09","0.077",".",".",".","24","9.7",".",".","."
"11540","Appleton, WI",".",".",".",".","0.08","0.072",".",".",".","22","9.3",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.1","0.085",".",".",".",".",".",".",".","."
"11640","Arecibo, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","0.34"
"11700","Asheville, NC",".",".",".",".","0.08","0.067",".",".",".","23","10",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.09","0.077","19","10","2",".",".",".",".","."
"11900","Athens, OH",".",".","20","3","0.08","0.071",".",".",".","19","8.7",".",".","."
"11940","Athens, TN",".",".","42","9",".",".","65","16","2",".",".","47","27","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.09","0.075",".",".",".",".",".",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","1.8","1.5","57","13","0.11","0.084","25","6","2","27","12.5","47","21","0.02"
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.1","0.073",".",".",".","28","9.3",".",".","."
