Location,Data Type,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Albuquerque,Rate per 1000,6.9,6.5,5.7,6.9,4.5,6.4,5.1,5.2,NA,NA
Atlanta,Rate per 1000,9.2,7.8,7.7,1.3,1.1,N.A.,3.1,7.3,NA,NA
Austin,Rate per 1000,5.1,4.6,5.3,4.6,6.2,4.9,5.4,5.6,NA,NA
Baltimore,Rate per 1000,14.1,11.6,11.3,9.9,12.8,12.5,11.2,12.2,NA,NA
Boston,Rate per 1000,7.4,6.7,7.2,6.9,6.1,6.2,5.1,5.9,NA,NA
Charlotte,Rate per 1000,6.5,8.9,8.3,8.6,7.2,9.8,8.8,7.3,NA,NA
Chicago,Rate per 1000,12.2,10.9,9.5,9.0,10.0,8.9,9.1,7.2,NA,NA
Cleveland,Rate per 1000,13.0,13.2,11.2,14.7,10.0,14.8,15.0,14.0,NA,NA
Colorado Springs,Rate per 1000,8.8,7.8,6.2,6.9,7.2,8.7,7.8,10.0,NA,NA
Columbus,Rate per 1000,9.8,9.9,9.2,10.8,9.8,8.3,9.8,10.0,NA,NA
Dallas,Rate per 1000,6.8,5.4,6.5,6.8,8.1,6.8,7.3,8.5,NA,NA
Denver,Rate per 1000,6.2,6.0,5.3,7.1,7.0,6.6,8.8,5.2,NA,NA
Detroit,Rate per 1000,14.6,14.8,14.0,16.7,16.4,15.5,16.0,13.4,NA,NA
District of Columbia,Rate per 1000,15.0,12.0,10.6,11.3,10.5,12.0,14.1,11.3,13.1,10.8
El Paso,Rate per 1000,5.0,4.4,5.0,3.5,3.9,3.7,5.1,4.7,NA,NA
Fort Worth,Rate per 1000,9.2,6.3,8.7,7.5,8.8,6.8,8.1,7.8,NA,NA
Fresno,Rate per 1000,6.7,6.8,5.9,8.3,7.0,8.0,7.7,7.2,NA,NA
Houston,Rate per 1000,6.5,5.1,5.5,7.1,6.9,7.3,6.9,5.9,NA,NA
Indianapolis,Rate per 1000,11.0,9.9,7.8,8.5,9.4,10.1,9.8,9.3,NA,NA
Jacksonville,Rate per 1000,10.6,9.3,11.3,9.6,10.2,11.3,12.1,10.1,NA,NA
Kansas City,Rate per 1000,8.9,7.2,7.6,9.8,8.3,8.2,7.3,9.0,NA,NA
Las Vegas,Rate per 1000,4.9,3.9,5.7,5.3,3.7,4.3,3.5,5.6,NA,NA
Long Beach,Rate per 1000,6.1,6.6,4.6,4.3,7.0,4.3,4.4,4.6,NA,NA
Los Angeles,Rate per 1000,6.1,4.9,5.7,5.8,5.5,5.8,5.1,4.8,NA,NA
Louisville,Rate per 1000,7.4,7.0,5.7,6.9,4.9,5.6,5.5,7.1,NA,NA
Memphis,Rate per 1000,13.3,16.1,14.9,16.7,17.3,14.7,13.3,16.0,NA,NA
Mesa,Rate per 1000,7.6,7.2,5.2,5.2,6.1,6.6,6.0,5.7,NA,NA
Miami,Rate per 1000,5.2,5.4,4.9,4.7,5.1,4.3,7.9,3.8,NA,NA
Milwaukee,Rate per 1000,10.5,11.4,11.5,12.1,11.4,11.9,11.1,11.9,NA,NA
Minneapolis,Rate per 1000,7.9,6.2,5.6,6.7,5.5,6.9,5.8,6.9,NA,NA
Nashville-Davidson,Rate per 1000,9.2,10.2,8.7,10.2,7.4,6.3,8.1,9.3,NA,NA
New York City,Rate per 1000,6.7,6.4,5.6,5.9,6.2,6.1,5.6,5.7,NA,NA
Oakland,Rate per 1000,6.5,5.9,7.8,5.4,6.5,6.2,6.8,5.1,NA,NA
Oklahoma City,Rate per 1000,9.3,12.6,8.9,8.7,10.3,10.6,9.3,7.0,NA,NA
Omaha,Rate per 1000,7.9,8.9,7.5,9.8,7.3,6.2,6.5,7.9,NA,NA
Philadelphia,Rate per 1000,12.2,10.5,10.5,10.7,10.7,11.2,12.0,12.2,NA,NA
Phoenix,Rate per 1000,8.0,6.7,7.9,6.6,6.8,7.2,6.7,6.8,NA,NA
Portland,Rate per 1000,5.2,5.9,3.2,4.5,3.9,5.3,5.9,5.8,NA,NA
Sacramento,Rate per 1000,6.5,6.6,7.2,7.1,5.9,5.7,5.9,6.2,NA,NA
San Antonio,Rate per 1000,6.5,4.9,5.7,7.3,7.5,6.3,6.6,6.5,NA,NA
San Diego,Rate per 1000,5.4,6.6,6.2,4.2,4.5,5.1,4.5,5.0,NA,NA
San Francisco,Rate per 1000,3.8,4.0,3.8,4.6,3.1,3.6,3.6,3.1,NA,NA
San Jose,Rate per 1000,4.7,4.8,4.2,3.6,4.0,4.5,3.8,3.9,NA,NA
San Juan,Rate per 1000,14.1,9.9,10.1,12.8,11.3,N.A.,N.A.,N.A.,NA,NA
Seattle,Rate per 1000,6.5,4.6,4.8,4.0,5.6,5.2,4.9,3.5,NA,NA
Tucson,Rate per 1000,5.1,5.5,7.4,6.9,6.6,7.3,8.7,7.2,NA,NA
Tulsa,Rate per 1000,8.2,9.6,8.2,10.1,8.2,6.9,8.9,8.9,NA,NA
Virginia Beach,Rate per 1000,9.4,6.0,7.1,7.2,6.8,7.8,7.8,10.3,NA,NA
Wichita,Rate per 1000,N.A.,N.A.,N.A.,N.A.,N.A.,8.8,10.6,7.7,NA,NA
