"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","21","8.4","66","24","."
"10140","Aberdeen, WA",".",".",".",".",".",".",".",".",".","17","7.5",".",".","."
"10300","Adrian, MI",".",".",".",".","0.11","0.088",".",".",".",".",".",".",".","."
"10420","Akron, OH","5.1","2.5",".",".","0.13","0.091","167","54","9","37","15.4","62","21","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","27","13.4","43","20","."
"10540","Albany, OR",".",".",".",".",".",".",".",".",".","28","7.9",".",".","."
"10580","Albany-Schenectady-Troy, NY","3.6","2.6",".",".","0.11","0.086","42","24","4","35","12.2",".",".","."
"10740","Albuquerque, NM","9.6","3.5","55","18","0.1","0.082",".",".",".","26","10.8","212","41","."
"10780","Alexandria, LA",".",".",".",".","0.09","0.072",".",".",".",".",".",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","2.3","1.4","50","15","0.11","0.087","69","38","9","37","14.3","114","32","."
"11020","Altoona, PA","1.6","1.2","53","13","0.1","0.083","62","30","6",".",".","95","20","."
"11100","Amarillo, TX",".",".",".",".",".",".",".",".",".","16","6.7",".",".","."
"11140","Americus, GA",".",".",".",".","0.09","0.072",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.07","0.058",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","9.6","6.7",".",".",".",".",".",".",".","30","7.3","179","32","."
"11460","Ann Arbor, MI",".",".",".",".","0.1","0.091",".",".",".","39","15.1",".",".","."
"11540","Appleton, WI",".",".",".",".","0.08","0.075",".",".",".","26","10.4",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.081",".",".",".","20","9.8",".",".","."
"11700","Asheville, NC",".",".",".",".","0.09","0.08",".",".",".","31","12.7","41","19","."
"11780","Ashtabula, OH",".",".",".",".","0.12","0.099","44","24","4",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","29","12.3","46","20","."
"11940","Athens, TN",".",".",".","12",".",".",".",".",".",".",".","61","31","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.08","0.072",".",".",".","33","14.3",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","3.5","2.6","70","16","0.12","0.091","60","22","3","44","17.7","91","27","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.12","0.085","21","10","3",".",".","35","21","."
"12260","Augusta-Richmond County, GA-SC",".",".","24","4","0.09","0.078",".",".",".","31","14.8",".",".","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.09","0.069",".",".",".",".",".","79","20","."
"12420","Austin-Round Rock, TX","2.2","0.9","34","4","0.1","0.084",".",".",".",".",".","53","23","."
"12540","Bakersfield, CA","4.2","2.2","76","23","0.15","0.119",".",".",".","52","19.6","128","52","."
