"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","22","6.9","49","25","."
"10300","Adrian, MI",".",".",".",".","0.08","0.071",".",".",".","23","8",".",".","."
"10420","Akron, OH","2","1.8",".",".","0.09","0.069","6","2","0","20","9",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","24","8.5",".",".","."
"10580","Albany-Schenectady-Troy, NY","1.2","0.8",".",".","0.07","0.067","2","2","0","20","7.9",".",".","."
"10740","Albuquerque, NM","1.8","1","45","10","0.08","0.075","5","2","1","21","8.4","229","42","."
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","23","8.2",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ",".",".","41","9","0.08","0.073","6","4","1","24","8","40","11","0.13"
"11020","Altoona, PA",".",".",".",".","0.07","0.064","8","3","0",".",".",".",".","."
"11100","Amarillo, TX",".",".",".",".","0.08","0.072","133","21","3",".",".",".",".","."
"11140","Americus, GA",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","4.4","2.7",".",".","0.05","0.044",".",".",".","19","5.4","155","18","."
"11460","Ann Arbor, MI",".",".",".",".","0.08","0.072",".",".",".","21","8.3",".",".","."
"11540","Appleton, WI",".",".",".",".","0.07","0.067","108","23","1","21","6.5",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.075",".",".",".","24","8.6",".",".","."
"11640","Arecibo, PR",".",".",".",".",".",".",".",".",".",".",".",".",".","0.18"
"11660","Arkadelphia, AR",".",".",".",".","0.07","0.062",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.08","0.065","213","84","5","14","6.5",".",".","."
"11780","Ashtabula, OH",".",".",".",".","0.08","0.069","5","2","0",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".","14","6.4",".",".","."
"11940","Athens, TN",".",".",".",".",".",".",".",".",".","15","7.4",".",".","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.08","0.065",".",".",".","14","7.1",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.2","1.6","47","16","0.09","0.072","4","2","1","21","10","38","17","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.07","0.063","2","1","0","15","6.7",".",".","."
"12260","Augusta-Richmond County, GA-SC",".",".",".",".","0.09","0.066","64","8","1","29","9.9","33","13","."
"12300","Augusta-Waterville, ME",".",".","28","3","0.07","0.06","6","3","0","13","5.2","28","10","."
"12420","Austin-Round Rock, TX","2.3","1.3","46","12","0.08","0.072","2","1","0","23","10.2","82","23","."
"12540","Bakersfield, CA","1.8","1.1","51","13","0.12","0.096",".",".",".","96","18.1","171","54","."
"12580","Baltimore-Columbia-Towson, MD","1.8","1.3","48","16","0.1","0.075","12","4","1","21","9.6","33","14","."
"12620","Bangor, ME",".",".",".",".","0.07","0.056",".",".",".","14","5.2","43","14","."
"12660","Baraboo, WI",".",".",".",".","0.07","0.067",".",".",".","18","6.6","32","10","."
"12700","Barnstable Town, MA",".",".",".",".","0.09","0.071",".",".",".",".",".",".",".","."
"12940","Baton Rouge, LA","2.2","1.7","44","10","0.1","0.074","29","6","2","25","10.3","84","27","0.01"
"13020","Bay City, MI",".",".",".",".",".",".",".",".",".","18","7.1",".",".","."
"13140","Beaumont-Port Arthur, TX","0.7","0.5","35","6","0.1","0.073","61","13","1","26","10.5",".",".","."
"13180","Beaver Dam, WI","0.4","0.3",".",".","0.08","0.069",".",".",".","23","7.5","38","12","."
"13380","Bellingham, WA",".",".",".",".","0.08","0.062","101","28","4","24","5.3",".",".","."
"13420","Bemidji, MN",".",".",".",".",".",".",".",".",".","19","6.2",".",".","."
"13540","Bennington, VT",".",".",".",".","0.07","0.065",".",".",".","15","6",".",".","."
"13620","Berlin, NH-VT",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"13700","Big Spring, TX",".",".",".",".",".",".","99","39","4",".",".",".",".","."
"13740","Billings, MT",".",".",".",".",".",".","22","5","2","28","8.4",".",".","."
"13820","Birmingham-Hoover, AL","1.7","1.3","45","11","0.09","0.069","72","20","3","23","10.3","59","21","."
"13860","Bishop, CA","1.4","1.2",".",".","0.09","0.078",".",".",".","44","7.4","353","26","."
"13900","Bismarck, ND","0.7","0.4","34","5","0.07","0.063","10","3","1","30","8.6","96","20","."
"13980","Blacksburg-Christiansburg-Radford, VA",".",".",".",".","0.07","0.063","66","17","2",".",".",".",".","0"
"14010","Bloomington, IL",".",".",".",".","0.08","0.068",".",".",".","20","9.7",".",".","."
"14020","Bloomington, IN",".",".",".",".","0.08","0.066",".",".",".","23","8.2",".",".","."
"14260","Boise City, ID","4.6","1.6",".",".","0.09","0.068","3","1","0","33","9.4","73","21","."
"14420","Borger, TX",".",".",".",".",".",".","214","69","7",".",".",".",".","."
"14460","Boston-Cambridge-Newton, MA-NH","1.1","0.7","48","13","0.09","0.071","14","5","1","21","10.1","31","9","."
"14500","Boulder, CO",".",".",".",".","0.1","0.077",".",".",".","22","6.8","57","21","."
"14540","Bowling Green, KY","0.3","0.3",".",".","0.07","0.062","5","2","0","18","8.1",".",".","."
"14580","Bozeman, MT","1.7","0.7",".","2",".",".",".",".",".","25","3.5",".",".","."
"14660","Brainerd, MN",".",".",".",".","0.06","0.06",".",".",".","17","5.5",".",".","."
"14740","Bremerton-Silverdale, WA",".",".",".",".",".",".",".",".",".","24","4.8",".",".","."
"14860","Bridgeport-Stamford-Norwalk, CT","2.4","1.4","40","9","0.12","0.086","6","2","0","20","7.9","34","14","."
"15100","Brookings, SD",".",".",".",".","0.08","0.067",".",".",".","12","4.7","70","18","."
"15180","Brownsville-Harlingen, TX",".",".",".",".","0.06","0.059",".",".",".",".",".",".",".","."
"15260","Brunswick, GA",".",".",".",".","0.07","0.06",".",".",".",".",".",".",".","."
"15380","Buffalo-Cheektowaga-Niagara Falls, NY","1.1","0.7","47","10","0.08","0.069","7","2","0","19","7.6","35","14","."
"15540","Burlington-South Burlington, VT","0.7","0.6","27","6","0.07","0.062","1","1","0","16","6.5","20","6","."
"15580","Butte-Silver Bow, MT",".",".",".",".",".",".",".",".",".","22","7.6","66","20","."
"15620","Cadillac, MI",".",".","8","1","0.08","0.068",".",".",".","16","5.4",".",".","."
"15700","Cambridge, MD",".",".",".",".","0.08","0.068","4","1",".","14","5.8",".",".","."
"15940","Canton-Massillon, OH","1.9","1",".",".","0.08","0.07",".",".",".","22","9.1",".",".","0.2"
"15980","Cape Coral-Fort Myers, FL",".",".",".",".","0.07","0.065",".",".",".",".",".",".",".","."
"16100","Carlsbad-Artesia, NM",".",".","30","5","0.1","0.083",".",".",".",".",".",".",".","."
"16180","Carson City, NV",".",".",".",".","0.09","0.071",".",".",".","42","7.1",".",".","."
"16220","Casper, WY",".",".","37","5","0.07","0.065","19","7","2","16","6","31","14","."
"16260","Cedar City, UT",".",".",".",".","0.08","0.067",".",".",".","14","4.8",".",".","."
"16300","Cedar Rapids, IA","1","0.9",".",".","0.08","0.069","28","9","1","23","8.6","54","20","."
"16540","Chambersburg-Waynesboro, PA",".",".",".",".","0.07","0.059",".",".",".",".",".",".",".","."
"16580","Champaign-Urbana, IL","0.3","0.3",".",".","0.08","0.072","3","2","1","18","8.2",".",".","."
"16620","Charleston, WV","1.2","0.8",".",".","0.08","0.066","5","2","0","16","7.6",".",".","."
"16700","Charleston-North Charleston, SC",".",".",".","1","0.07","0.06","13","4","0","14","6.8","31","14","."
"16740","Charlotte-Concord-Gastonia, NC-SC","1.8","1.3","35","10","0.08","0.07","3","1","0","16","8.4","58","15","."
"16820","Charlottesville, VA",".",".",".",".","0.07","0.062",".",".",".","14","6.2",".",".","."
"16860","Chattanooga, TN-GA",".",".",".",".","0.08","0.064",".",".",".","17","9.1",".",".","."
"16940","Cheyenne, WY","0.4","0.4","34","4","0.08","0.068","3","1","0","14","4.9","44","13","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","3.4","1.6","61","18","0.1","0.084","28","8","2","27","11.2","76","23","0.01"
"17020","Chico, CA","19.3","6.4","36","7","0.1","0.084",".",".",".","61","13.7","338","31","."
"17140","Cincinnati, OH-KY-IN","4.3","1.7","41","19","0.09","0.08","24","7","1","23","11.1","83","37","."
"17200","Claremont-Lebanon, NH-VT",".",".",".",".","0.07","0.061",".",".",".","16","6.2",".",".","."
"17220","Clarksburg, WV",".",".",".",".",".",".",".",".",".","15","7.1",".",".","."
"17300","Clarksville, TN-KY",".",".",".",".","0.07","0.062",".",".",".","16","8.2",".",".","."
"17340","Clearlake, CA",".",".",".",".","0.07","0.053",".",".",".","72","9.3","89","16","."
"17380","Cleveland, MS",".",".",".",".","0.08","0.069",".",".",".",".",".",".",".","."
"17460","Cleveland-Elyria, OH","4.7","3.1","49","11","0.09","0.076","53","11","1","28","11.1","74","30","0.06"
"17540","Clinton, IA",".",".",".",".","0.08","0.067","25","9","1","21","9",".",".","."
"17820","Colorado Springs, CO","2.4","1.5",".",".","0.08","0.073","9","3","1","16","6.2","36","19","."
"17860","Columbia, MO",".",".",".",".","0.08","0.063",".",".",".",".",".",".",".","."
"17900","Columbia, SC","0.9","0.6",".",".","0.07","0.063","2","1","0","17","7.7",".",".","."
"17980","Columbus, GA-AL",".",".",".",".","0.07","0.061",".",".",".","28","9.2",".",".","0.04"
"18020","Columbus, IN",".",".",".",".","0.08","0.069",".",".",".","18","7.3",".",".","."
"18140","Columbus, OH","1.7","1.2","44","10","0.08","0.067",".",".","0","24","9.1",".",".","0.01"
"18180","Concord, NH",".",".",".",".","0.07","0.06","15","7","1",".",".",".",".","."
"18260","Cookeville, TN",".",".",".",".",".",".",".",".",".","15","6.9",".",".","."
"18500","Corning, NY","0.3","0.3",".",".","0.07","0.064","2","1","0","15","5.4",".",".","."
"18580","Corpus Christi, TX",".",".",".",".","0.07","0.061","5","2","0","29","8.1","79","20","."
"18620","Corsicana, TX",".",".","28","4","0.08","0.067","141","24","2",".",".",".",".","."
