"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","23","8.1","39","17","."
"10300","Adrian, MI",".",".",".",".","0.08","0.074",".",".",".",".",".",".",".","."
"10420","Akron, OH","3.5","2.2",".",".","0.09","0.081","172","52","8","37","15","53","21","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","36","14.1","47","24","."
"10580","Albany-Schenectady-Troy, NY","2.9","2.1",".",".","0.11","0.077","39","17","4","32","11.1",".",".","."
"10740","Albuquerque, NM","5","3.5","52","17","0.09","0.074",".",".",".","21","8","207","40","."
"10780","Alexandria, LA",".",".",".",".","0.09","0.076",".",".",".","28","9.9",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","2.4","1.7","45","14","0.1","0.088","92","45","13","36","14","115","31","."
"11020","Altoona, PA","2.3","0.9","55","12","0.08","0.073","61","30","6",".",".","63","20","."
"11140","Americus, GA",".",".",".",".","0.08","0.07",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.06","0.053",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","11","7.9",".",".",".",".",".",".",".","32","7","97","22","."
"11460","Ann Arbor, MI",".",".",".",".","0.09","0.074",".",".",".","32","12.9",".",".","."
"11540","Appleton, WI",".",".",".",".","0.08","0.071",".",".",".","29","9.7",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.077",".",".",".","26","9.5",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.09","0.068",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.09","0.073",".",".",".","27","12.5","35","17","."
"11780","Ashtabula, OH",".",".",".",".","0.1","0.081","36","18","3",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"11940","Athens, TN",".",".","43","11",".",".","118","30","6","28","13.8","55","33","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.1","0.078",".",".",".","32","14.8",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","4.6","2.6","70","17","0.12","0.092","69","14","3","39","17.6","62","29","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.09","0.077",".",".",".",".",".","32","20","."
"12260","Augusta-Richmond County, GA-SC",".",".","28","4","0.1","0.08",".",".",".","39","15.6","48","23","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.08","0.071",".",".",".",".",".","37","15","."
"12420","Austin-Round Rock, TX","0.9","0.6","33","4","0.11","0.082",".",".",".",".",".","44","18","."
"12540","Bakersfield, CA","3.3","2.4","55","19","0.14","0.112",".",".",".","54","18.2","79","43","."
