"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"15100","Brookings, SD",".",".",".",".",".",".",".",".",".","25","9.1","74","25","."
"15140","Brownsville, TN",".","1",".",".","0.1","0.085",".",".",".",".",".",".",".","."
"15180","Brownsville-Harlingen, TX","3.7","1.9",".",".","0.08","0.065",".",".",".","23","9.8","189","37","."
"15260","Brunswick, GA",".",".",".",".","0.1","0.076",".",".",".","23","10.9","32","15","."
"15340","Bucyrus, OH",".",".",".",".","0.1","0.095",".",".",".",".",".",".",".","."
"15380","Buffalo-Cheektowaga-Niagara Falls, NY","4","1.8","68","20","0.12","0.105","243","72","11","43","13.7",".",".","."
"15500","Burlington, NC",".",".",".",".",".",".",".",".",".","29","13.5",".",".","."
"15540","Burlington-South Burlington, VT",".",".",".","9","0.1","0.084",".",".",".","39","10","47","14","."
"15580","Butte-Silver Bow, MT","5.1","3.6",".",".",".",".",".",".",".",".",".",".",".","."
"15620","Cadillac, MI","1.5","1.4",".",".","0.11","0.086",".",".",".",".",".",".",".","."
"15700","Cambridge, MD",".",".",".",".","0.11","0.099",".",".",".",".",".",".",".","."
"15860","Ca¤on City, CO",".",".",".",".",".",".",".",".",".",".",".","42","17","."
"15940","Canton-Massillon, OH","3.8","2.8",".",".","0.11","0.098","52","21","7","41","17.3","52","22","."
"15980","Cape Coral-Fort Myers, FL",".",".",".",".","0.07","0.063",".",".",".","16","7.8","36","17","."
"16060","Carbondale-Marion, IL",".",".",".",".",".",".",".",".",".",".",".","43","19","."
"16100","Carlsbad-Artesia, NM",".",".","36","6","0.09","0.075","38","9","0",".",".",".",".","."
"16180","Carson City, NV","7.2","3.9",".",".","0.08","0.071",".",".",".",".",".",".",".","."
"16220","Casper, WY",".",".",".",".",".",".",".",".",".",".",".","37","17","."
"16300","Cedar Rapids, IA","2.7","1.4",".",".","0.09","0.072","96","31","4","30","11.1","45","24","."
"16540","Chambersburg-Waynesboro, PA",".",".",".",".","0.12","0.104",".",".",".",".",".",".",".","."
"16580","Champaign-Urbana, IL",".",".",".",".","0.11","0.089",".",".",".","23","12.2",".",".","."
"16620","Charleston, WV",".",".",".",".","0.11","0.087","87","32","9","39","17.2","60","23","."
"16700","Charleston-North Charleston, SC","3.5","2.8","42","10","0.1","0.075","36","10","2","27","11.6","32","17","."
"16740","Charlotte-Concord-Gastonia, NC-SC","5.7","3.2","57","15","0.13","0.108","50","11","3","33","14.7","49","27","."
"16820","Charlottesville, VA",".",".",".",".",".",".",".",".",".",".",".","39","19","."
"16860","Chattanooga, TN-GA",".",".",".",".","0.11","0.099",".",".",".","32","14.8","50","22","."
"16940","Cheyenne, WY",".",".",".",".",".",".",".",".",".","14","4.7","41","16","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","4.9","3.7","92","32","0.14","0.116","114","33","6","41","17.7","114","36","."
"17020","Chico, CA","5","3.4","48","12","0.11","0.094",".",".",".","53","15.1","74","28","."
"17140","Cincinnati, OH-KY-IN","5.7","2.6","72","21","0.13","0.102","245","43","10","44","17.9","59","26","."
"17200","Claremont-Lebanon, NH-VT",".",".",".",".","0.11","0.082",".",".",".","32","9.6","43","14","."
"17220","Clarksburg, WV",".",".",".",".",".",".",".",".",".","38","14",".",".","."
"17300","Clarksville, TN-KY",".",".",".",".","0.1","0.093","46","17","7",".",".","40","19","."
"17340","Clearlake, CA",".",".",".",".","0.08","0.072",".",".",".","46","6.4",".",".","."
"17380","Cleveland, MS",".",".",".",".","0.09","0.074",".",".",".","31","11.7",".",".","."
"17420","Cleveland, TN",".",".","47","15",".",".","177","39","7",".",".","49","27","."
"17460","Cleveland-Elyria, OH","8","2.4","73","22","0.13","0.115","146","41","9","45","17.7","113","36","."
