"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10300","Adrian, MI",".",".",".",".","0.09","0.083",".",".",".",".",".",".",".","."
"10420","Akron, OH","4.7","3.1",".",".","0.12","0.098","158","65","11","42","18","68","22","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".",".",".","60","26","."
"10580","Albany-Schenectady-Troy, NY","6.4","4.2",".",".","0.11","0.092","37","16","3",".",".",".",".","."
"10740","Albuquerque, NM","7.5","4.6","54","16","0.1","0.076",".",".",".",".",".","93","39","."
"10780","Alexandria, LA",".",".",".",".","0.09","0.083",".",".",".","31","14.3",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","5.5","3.2","56","17","0.13","0.107","62","30","9",".",".",".",".","."
"11020","Altoona, PA","2.6","1.6","49","13","0.11","0.091","71","30","7",".",".",".",".","."
"11140","Americus, GA",".",".",".",".","0.1","0.084",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.08","0.072",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","13.1","7.8",".",".",".",".",".",".",".",".",".","149","19","."
"11460","Ann Arbor, MI",".",".",".",".","0.11","0.094",".",".",".",".",".",".",".","."
"11540","Appleton, WI",".",".",".",".","0.11","0.087",".",".",".","36","11.2",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.11","0.094",".",".",".",".",".",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.11","0.091",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.11","0.095",".",".",".","32","16.1","43","24","."
"11780","Ashtabula, OH",".",".",".",".","0.1","0.09","86","19","5",".",".",".",".","."
"11900","Athens, OH",".",".",".",".",".",".",".",".",".",".",".","38","20","."
"11940","Athens, TN",".",".","54","16",".",".","151","27","8",".",".","68","38","."
"12060","Atlanta-Sandy Springs-Roswell, GA","6.3","4.1","87","24","0.16","0.124","90","23","5","48","23","72","35","."
