"CBSA Code","CBSA","CO 2nd Max 1-hr","CO 2nd Max 8-hr","NO2 98th Percentile 1-hr","NO2 Mean 1-hr","Ozone 2nd Max 1-hr","Ozone 4th Max 8-hr","SO2 99th Percentile 1-hr","SO2 2nd Max 24-hr","SO2 Mean 1-hr","PM2.5 98th Percentile 24-hr","PM2.5 Weighted Mean 24-hr","PM10 2nd Max 24-hr","PM10 Mean 24-hr","Lead Max 3-Mo Avg"
"10100","Aberdeen, SD",".",".",".",".",".",".",".",".",".","17","8","49","19","."
"10300","Adrian, MI",".",".",".",".","0.09","0.081",".",".",".",".",".",".",".","."
"10420","Akron, OH","2.5","1.4",".",".","0.1","0.09","57","17","4","33","15.4",".",".","."
"10500","Albany, GA",".",".",".",".",".",".",".",".",".","43","15","187","34","."
"10580","Albany-Schenectady-Troy, NY","2.4","1.7",".",".","0.11","0.081","20","12","3","31","10.1",".",".","."
"10740","Albuquerque, NM","6.9","3.4","64","15","0.09","0.074",".",".",".","18","7.6","143","38","."
"10780","Alexandria, LA",".",".",".",".",".",".",".",".",".","19","10",".",".","."
"10900","Allentown-Bethlehem-Easton, PA-NJ","4","2.4","44","12","0.11","0.083","215","63","8","38","13.3","70","21","."
"11020","Altoona, PA","1.6","1","50","11","0.08","0.071","56","22","6",".",".","68","18","."
"11100","Amarillo, TX",".",".",".",".","0.07","0.065",".",".",".","15","6.1",".",".","."
"11140","Americus, GA",".",".",".",".","0.09","0.076",".",".",".",".",".",".",".","."
"11180","Ames, IA",".",".",".",".","0.08","0.073",".",".",".",".",".",".",".","."
"11260","Anchorage, AK","8.1","5.3",".",".",".",".",".",".",".","20","5.5","98","24","."
"11460","Ann Arbor, MI",".",".",".",".","0.09","0.077",".",".",".","35","14.3",".",".","."
"11540","Appleton, WI",".",".",".",".","0.09","0.075",".",".",".","31","11.2",".",".","."
"11620","Ardmore, OK",".",".",".",".","0.09","0.078",".",".",".",".",".",".",".","."
"11660","Arkadelphia, AR",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"11700","Asheville, NC",".",".",".",".","0.09","0.077",".",".",".","28","12.8","35","21","."
"11780","Ashtabula, OH",".",".",".",".","0.11","0.092","31","14","3",".",".",".",".","."
"11900","Athens, OH",".",".","29","6","0.09","0.08","88","20","5","37","13",".",".","."
"11940","Athens, TN",".",".","50","12",".",".","91","18","6","36","15.5","62","36","."
"12020","Athens-Clarke County, GA",".",".",".",".","0.1","0.083",".",".",".","31","13.5",".",".","."
"12060","Atlanta-Sandy Springs-Roswell, GA","2.1","1.7","75","17","0.13","0.102","65","18","3","39","16.8","88","29","."
"12100","Atlantic City-Hammonton, NJ",".",".",".",".","0.09","0.078","19","6","1",".",".","47","21","."
"12260","Augusta-Richmond County, GA-SC",".",".","23","3","0.1","0.082",".",".",".","34","15.7","54","29","."
"12300","Augusta-Waterville, ME",".",".",".",".","0.1","0.079",".",".",".",".",".","36","15","."
"12420","Austin-Round Rock, TX","0.9","0.5","25","3","0.09","0.076",".",".",".","21","9.7","41","20","."
"12540","Bakersfield, CA","2.8","1.9","65","20","0.13","0.102",".",".",".","72","21.8","109","55","."
"12580","Baltimore-Columbia-Towson, MD","3.3","2.3",".","14","0.13","0.092","129","16","4","45","15","56","26","."
"12620","Bangor, ME",".",".",".",".","0.09","0.075",".",".",".",".",".",".",".","."
"12660","Baraboo, WI",".",".",".",".","0.09","0.07",".",".",".","28","11",".",".","."
"12700","Barnstable Town, MA",".",".",".",".","0.1","0.082",".",".",".",".",".",".",".","."
"12940","Baton Rouge, LA","2.3","1.6","59","15","0.13","0.088","68","17","5","34","13.3","75","37","."
"13020","Bay City, MI",".",".",".",".",".",".",".",".",".","25","10.2",".",".","."
"13140","Beaumont-Port Arthur, TX","1.2","0.6","34","9","0.11","0.082","90","27","3","27","11.8",".",".","."
"13180","Beaver Dam, WI",".","0.5",".",".","0.09","0.074",".",".",".","30","11.5",".",".","."
"13220","Beckley, WV",".",".",".",".",".",".",".",".",".","29","13.2",".",".","."
"13340","Bellefontaine, OH",".",".",".",".",".",".",".",".",".",".",".",".",".","."
"13460","Bend-Redmond, OR",".",".",".",".",".",".",".",".",".",".",".","40","17","."
"13540","Bennington, VT",".",".",".",".","0.09","0.077",".",".",".","26","8.3",".",".","."
"13620","Berlin, NH-VT",".",".",".",".","0.1","0.085",".",".",".",".",".",".",".","."
"13740","Billings, MT","4","2.2",".","3","0.07","0.057","87","20","3","20","7.9","55","24","."
"13820","Birmingham-Hoover, AL","18.7","8.6",".",".","0.12","0.095","50","10","3","49","20.3","233","56","."
"13860","Bishop, CA",".",".",".",".","0.1","0.085",".",".",".","35","6.1","296","26","."
"13900","Bismarck, ND",".",".","37","6","0.07","0.059","63","10","1","17","7.3","44","15","."
"13980","Blacksburg-Christiansburg-Radford, VA",".",".",".",".","0.09","0.076",".",".",".",".",".",".",".","."
"14010","Bloomington, IL",".",".",".",".","0.09","0.075",".",".",".","33","12.3",".",".","."
"14020","Bloomington, IN",".",".",".",".","0.1","0.084",".",".",".",".",".",".",".","."
"14260","Boise City, ID","3.5","1.6",".",".","0.1","0.076",".",".",".",".",".","79","24","."
"14380","Boone, NC",".",".",".",".",".",".",".",".",".","27","11.6",".",".","."
"14460","Boston-Cambridge-Newton, MA-NH","2.5","1.6","55","21","0.12","0.089","58","16","6","32","11.9","38","22","."
"14500","Boulder, CO","3.4","1.9",".",".","0.1","0.085",".",".",".","28","8.9","59","22","."
"14540","Bowling Green, KY",".",".",".",".","0.09","0.082",".",".",".",".",".",".",".","."
"14580","Bozeman, MT","5","2.4",".",".",".",".",".",".",".","36","9.4",".",".","."
"14660","Brainerd, MN",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"14720","Breckenridge, CO",".",".",".",".",".",".",".",".",".",".",".","71","17","."
"14860","Bridgeport-Stamford-Norwalk, CT","2.8","1.9","57","14","0.13","0.092","28","17","4","32","12.7","43","21","."
"15100","Brookings, SD",".",".",".",".",".",".",".",".",".",".",".","49","24","."
"15180","Brownsville-Harlingen, TX","2.1","1.1",".",".","0.07","0.058",".",".",".","29","10.8","112","26","."
"15260","Brunswick, GA",".",".",".",".","0.07","0.062","16","5","1",".",".",".",".","."
"15340","Bucyrus, OH",".",".",".",".","0.09","0.073",".",".",".",".",".",".",".","."
"15380","Buffalo-Cheektowaga-Niagara Falls, NY","2.1","1.1","106","16","0.1","0.085","134","27","4","35","11.6",".",".","."
"15500","Burlington, NC",".",".",".",".",".",".",".",".",".","32","13.1",".",".","."
"15540","Burlington-South Burlington, VT","1.9","1.2","44","11","0.08","0.077",".",".",".","28","8.9","31","13","."
"15580","Butte-Silver Bow, MT",".",".",".",".",".",".",".",".",".","48","12.8","160","32","."
"15620","Cadillac, MI",".",".",".",".","0.11","0.09",".",".",".",".",".",".",".","."
"15700","Cambridge, MD",".",".",".",".","0.1","0.083",".",".",".",".",".",".",".","."
"15860","Ca¤on City, CO",".",".",".",".",".",".",".",".",".",".",".","30","16","."
"15940","Canton-Massillon, OH","2.1","1.7",".",".","0.11","0.087",".",".",".",".",".",".",".","."
"15980","Cape Coral-Fort Myers, FL",".",".",".",".","0.08","0.069",".",".",".","34","8.5","47","20","."
"16060","Carbondale-Marion, IL",".",".",".",".",".",".",".",".",".",".",".","41","22","."
"16100","Carlsbad-Artesia, NM",".",".","30","4","0.07","0.066","1","1","0",".",".",".",".","."
"16180","Carson City, NV","4.6","2.6",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"16300","Cedar Rapids, IA","0.6","0.4",".",".","0.09","0.076","98","49","3","26","11.1","50","22","."
"16540","Chambersburg-Waynesboro, PA",".",".",".",".","0.09","0.077",".",".",".",".",".",".",".","."
"16580","Champaign-Urbana, IL",".",".",".",".","0.09","0.078",".",".",".","34","13.2",".",".","."
"16620","Charleston, WV",".",".",".",".","0.1","0.082","96","31","9","37","16.5",".",".","."
"16700","Charleston-North Charleston, SC","0.9","0.5",".","8","0.08","0.069","34","11","2","27","10.9","57","19","."
"16740","Charlotte-Concord-Gastonia, NC-SC","2.7","2","54","14","0.13","0.096","82","13","3","31","14","59","31","."
"16820","Charlottesville, VA",".",".",".",".",".",".",".",".",".",".",".","40","21","."
"16860","Chattanooga, TN-GA",".",".",".",".","0.11","0.089",".",".",".","35","15.5","44","21","."
"16940","Cheyenne, WY",".",".",".",".",".",".",".",".",".","9","4.3","25","13","."
"16980","Chicago-Naperville-Elgin, IL-IN-WI","8","3","119","33","0.11","0.088","119","25","5","39","16.1","115","33","."
"17020","Chico, CA","2.8","2.2",".","10","0.09","0.083",".",".",".","53","10.7","61","21","."
"17140","Cincinnati, OH-KY-IN","4.1","2.8","56","17","0.11","0.092","99","22","5","37","16.6","55","26","."
"17200","Claremont-Lebanon, NH-VT",".",".",".",".","0.09","0.076",".",".",".","19","9.1",".",".","."
"17220","Clarksburg, WV",".",".",".",".",".",".",".",".",".","32","14.1",".",".","."
"17300","Clarksville, TN-KY",".",".",".","2","0.1","0.089","105","18","6","36","14","51","25","."
"17340","Clearlake, CA",".",".",".",".","0.07","0.057",".",".",".","9","3.4",".",".","."
"17380","Cleveland, MS",".",".",".",".","0.09","0.077",".",".",".","28","12.1",".",".","."
"17420","Cleveland, TN",".",".","37","10",".",".","68","45","6",".",".","45","24","."
"17460","Cleveland-Elyria, OH","6.7","2.9","61","20","0.11","0.083","176","53","8","39","15.8","100","34","."
"17540","Clinton, IA",".",".",".",".","0.08","0.074","42","17","2","37","14.5",".",".","."
"17660","Coeur d'Alene, ID",".",".",".",".","0.08","0.067",".",".",".",".",".",".",".","."
"17700","Coffeyville, KS",".",".",".",".",".",".","14","8","2",".",".","90","23","."
"17820","Colorado Springs, CO","4","2.1",".",".","0.08","0.072",".",".",".","16","7.3","64","24","."
"17900","Columbia, SC","2.9","1.9","47","11","0.1","0.084","95","17","3","32","14.5","100","37","."
"17980","Columbus, GA-AL",".",".",".",".","0.1","0.083",".",".",".","48","15.5","53","28","."
"18060","Columbus, MS",".",".",".",".",".",".",".",".",".","30","13.4",".",".","."
"18140","Columbus, OH","2.3","1.6",".",".","0.1","0.087","33","12","3","36","14.7","76","36","."
"18180","Concord, NH",".",".",".",".","0.09","0.074","159","59","7","27","9.7",".",".","."
"18260","Cookeville, TN",".",".",".","2","0.09","0.076",".",".",".",".",".",".",".","."
"18500","Corning, NY",".",".",".",".","0.08","0.075","26","13","2","27","8.1",".",".","."
"18580","Corpus Christi, TX",".",".",".",".","0.08","0.07","27","6","1","29","10.7","72","26","."
"19000","Cullowhee, NC",".",".",".",".","0.09","0.08",".",".",".","30","12.5",".",".","."
"19100","Dallas-Fort Worth-Arlington, TX","2.2","1.5","58","16","0.12","0.089","96","20","2","26","12.4","43","20","."
"19140","Dalton, GA",".",".",".",".","0.1","0.082",".",".",".",".",".",".",".","."
"19300","Daphne-Fairhope-Foley, AL",".",".",".",".","0.1","0.078",".",".",".","22","10.4",".",".","."
"19340","Davenport-Moline-Rock Island, IA-IL","1.2","0.8","37","9","0.09","0.073","17","6","1","37","15.1","112","44","."
"19380","Dayton, OH","4.2","1.6",".",".","0.09","0.077",".",".",".","37","15.6","59","27","."
"19460","Decatur, AL",".",".",".",".","0.1","0.081",".",".",".","40","14.4",".",".","."
"19500","Decatur, IL",".",".",".",".","0.08","0.077","51","21","2","36","14",".",".","."
"19660","Deltona-Daytona Beach-Ormond Beach, FL",".",".",".",".","0.08","0.065",".",".",".","35","9.8","42","17","."
"19700","Deming, NM",".",".","34","5","0.07","0.062",".",".",".",".",".","116","26","."
"19740","Denver-Aurora-Lakewood, CO","5.9","2.8","83","27","0.11","0.09","33","11","3","40","10.7","111","34","."
"19780","Des Moines-West Des Moines, IA","4.9","2.3",".","9","0.08","0.07",".",".",".","28","11.3","49","22","."
"19820","Detroit-Warren-Dearborn, MI","2","1.4","48","14","0.11","0.093",".",".","5","37","16.9","117","32","."
"19860","Dickinson, ND",".",".",".",".","0.07","0.064","7","2","0",".",".",".",".","."
"20020","Dothan, AL",".",".",".",".","0.08","0.071",".",".",".","46","13.5",".",".","."
